+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   3.4869   |
| epoch 2  |   3.3629   |
| epoch 3  |   3.2946   |
| epoch 4  |   3.2505   |
| epoch 5  |   3.2211   |
| epoch 6  |   3.1893   |
| epoch 7  |   3.1659   |
| epoch 8  |   3.1473   |
| epoch 9  |   3.1295   |
| epoch 10 |   3.1124   |
| epoch 11 |   3.1020   |
| epoch 12 |   3.0894   |
| epoch 13 |   3.0795   |
| epoch 14 |   3.0677   |
| epoch 15 |   3.0629   |
| epoch 16 |   3.0490   |
| epoch 17 |   3.0428   |
| epoch 18 |   3.0369   |
| epoch 19 |   3.0269   |
| epoch 20 |   3.0210   |
| epoch 21 |   3.0145   |
| epoch 22 |   3.0084   |
| epoch 23 |   3.0092   |
| epoch 24 |   3.0015   |
| epoch 25 |   2.9977   |
| epoch 26 |   2.9934   |
| epoch 27 |   2.9872   |
| epoch 28 |   2.9870   |
| epoch 29 |   2.9779   |
| epoch 30 |   2.9765   |
| epoch 31 |   2.9794   |
| epoch 32 |   2.9725   |
| epoch 33 |   2.9740   |
| epoch 34 |   2.9667   |
| epoch 35 |   2.9642   |
| epoch 36 |   2.9617   |
| epoch 37 |   2.9614   |
| epoch 38 |   2.9596   |
| epoch 39 |   2.9611   |
| epoch 40 |   2.9555   |
| epoch 41 |   2.9505   |
| epoch 42 |   2.9526   |
| epoch 43 |   2.9499   |
| epoch 44 |   2.9510   |
| epoch 45 |   2.9439   |
| epoch 46 |   2.9438   |
| epoch 47 |   2.9440   |
| epoch 48 |   2.9453   |
| epoch 49 |   2.9429   |
| epoch 50 |   2.9364   |
+----------+------------+
