+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   1.0340   |
| epoch 2  |   0.8955   |
| epoch 3  |   0.8275   |
| epoch 4  |   0.7922   |
| epoch 5  |   0.7598   |
| epoch 6  |   0.7364   |
| epoch 7  |   0.7175   |
| epoch 8  |   0.7022   |
| epoch 9  |   0.6878   |
| epoch 10 |   0.6736   |
| epoch 11 |   0.6614   |
| epoch 12 |   0.6480   |
| epoch 13 |   0.6426   |
| epoch 14 |   0.6302   |
| epoch 15 |   0.6217   |
| epoch 16 |   0.6165   |
| epoch 17 |   0.6065   |
| epoch 18 |   0.5989   |
| epoch 19 |   0.5983   |
| epoch 20 |   0.5916   |
| epoch 21 |   0.5847   |
| epoch 22 |   0.5787   |
| epoch 23 |   0.5744   |
| epoch 24 |   0.5745   |
| epoch 25 |   0.5667   |
| epoch 26 |   0.5607   |
| epoch 27 |   0.5581   |
| epoch 28 |   0.5543   |
| epoch 29 |   0.5535   |
| epoch 30 |   0.5513   |
| epoch 31 |   0.5474   |
| epoch 32 |   0.5462   |
| epoch 33 |   0.5445   |
| epoch 34 |   0.5421   |
| epoch 35 |   0.5399   |
| epoch 36 |   0.5394   |
| epoch 37 |   0.5346   |
| epoch 38 |   0.5318   |
| epoch 39 |   0.5332   |
| epoch 40 |   0.5299   |
| epoch 41 |   0.5272   |
| epoch 42 |   0.5272   |
| epoch 43 |   0.5290   |
| epoch 44 |   0.5266   |
| epoch 45 |   0.5234   |
| epoch 46 |   0.5213   |
| epoch 47 |   0.5200   |
| epoch 48 |   0.5189   |
| epoch 49 |   0.5197   |
| epoch 50 |   0.5187   |
+----------+------------+
