+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   4.4847   |   4.4847   |     0.0000    |  0.0000 |
| epoch 2  |   4.2345   |   4.2345   |     0.0000    |  0.0000 |
| epoch 3  |   4.0791   |   4.0791   |     0.0000    |  0.0000 |
| epoch 4  |   3.9839   |   3.9839   |     0.0000    |  0.0000 |
| epoch 5  |   3.9220   |   3.9220   |     0.0000    |  0.0000 |
| epoch 6  |   3.8647   |   3.8647   |     0.0000    |  0.0000 |
| epoch 7  |   3.8111   |   3.8111   |     0.0000    |  0.0000 |
| epoch 8  |   3.7670   |   3.7670   |     0.0000    |  0.0000 |
| epoch 9  |   3.7205   |   3.7205   |     0.0000    |  0.0000 |
| epoch 10 |   5.0219   |   3.6906   |     1.0000    |  1.3313 |
| epoch 11 |   4.9540   |   3.6711   |     1.0000    |  1.2829 |
| epoch 12 |   4.9240   |   3.6433   |     1.0000    |  1.2808 |
| epoch 13 |   4.9380   |   3.6206   |     1.0000    |  1.3174 |
| epoch 14 |   4.9033   |   3.5823   |     1.0000    |  1.3209 |
| epoch 15 |   4.8616   |   3.5487   |     1.0000    |  1.3129 |
| epoch 16 |   4.8276   |   3.5107   |     1.0000    |  1.3168 |
| epoch 17 |   4.7944   |   3.4780   |     1.0000    |  1.3163 |
| epoch 18 |   4.7646   |   3.4449   |     1.0000    |  1.3197 |
| epoch 19 |   4.7367   |   3.4177   |     1.0000    |  1.3190 |
| epoch 20 |   4.7109   |   3.3912   |     1.0000    |  1.3197 |
| epoch 21 |   4.6675   |   3.3515   |     1.0000    |  1.3161 |
| epoch 22 |   4.6496   |   3.3251   |     1.0000    |  1.3244 |
| epoch 23 |   4.6075   |   3.2846   |     1.0000    |  1.3229 |
| epoch 24 |   4.5793   |   3.2517   |     1.0000    |  1.3276 |
| epoch 25 |   4.5600   |   3.2303   |     1.0000    |  1.3297 |
| epoch 26 |   4.5307   |   3.1967   |     1.0000    |  1.3339 |
| epoch 27 |   4.5005   |   3.1710   |     1.0000    |  1.3295 |
| epoch 28 |   4.4828   |   3.1496   |     1.0000    |  1.3332 |
| epoch 29 |   4.4466   |   3.1159   |     1.0000    |  1.3306 |
| epoch 30 |   4.4218   |   3.0901   |     1.0000    |  1.3317 |
| epoch 31 |   4.4105   |   3.0732   |     1.0000    |  1.3373 |
| epoch 32 |   4.3902   |   3.0484   |     1.0000    |  1.3417 |
| epoch 33 |   4.3570   |   3.0172   |     1.0000    |  1.3399 |
| epoch 34 |   4.3408   |   2.9988   |     1.0000    |  1.3420 |
| epoch 35 |   4.3083   |   2.9719   |     1.0000    |  1.3363 |
| epoch 36 |   4.2958   |   2.9532   |     1.0000    |  1.3426 |
| epoch 37 |   4.2698   |   2.9318   |     1.0000    |  1.3380 |
| epoch 38 |   4.2525   |   2.9100   |     1.0000    |  1.3425 |
| epoch 39 |   4.2225   |   2.8843   |     1.0000    |  1.3382 |
| epoch 40 |   4.2043   |   2.8654   |     1.0000    |  1.3390 |
| epoch 41 |   4.1749   |   2.8402   |     1.0000    |  1.3347 |
| epoch 42 |   4.1665   |   2.8314   |     1.0000    |  1.3351 |
| epoch 43 |   4.1431   |   2.8080   |     1.0000    |  1.3351 |
| epoch 44 |   4.1291   |   2.7908   |     1.0000    |  1.3384 |
| epoch 45 |   4.1128   |   2.7764   |     1.0000    |  1.3363 |
| epoch 46 |   4.0870   |   2.7537   |     1.0000    |  1.3332 |
| epoch 47 |   4.0770   |   2.7355   |     1.0000    |  1.3415 |
| epoch 48 |   4.0668   |   2.7246   |     1.0000    |  1.3422 |
| epoch 49 |   4.0520   |   2.7098   |     1.0000    |  1.3422 |
| epoch 50 |   4.0245   |   2.6876   |     1.0000    |  1.3368 |
+----------+------------+------------+---------------+---------+
