+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   0.6716   |   0.6716   |     0.0000    |  0.0000 |
| epoch 2  |   0.5419   |   0.5419   |     0.0000    |  0.0000 |
| epoch 3  |   0.4580   |   0.4580   |     0.0000    |  0.0000 |
| epoch 4  |   0.4110   |   0.4110   |     0.0000    |  0.0000 |
| epoch 5  |   0.3717   |   0.3717   |     0.0000    |  0.0000 |
| epoch 6  |   0.3532   |   0.3532   |     0.0000    |  0.0000 |
| epoch 7  |   0.3329   |   0.3329   |     0.0000    |  0.0000 |
| epoch 8  |   0.3168   |   0.3168   |     0.0000    |  0.0000 |
| epoch 9  |   0.3105   |   0.3105   |     0.0000    |  0.0000 |
| epoch 10 |   1.6717   |   0.3006   |     1.0000    |  1.3711 |
| epoch 11 |   1.6416   |   0.3014   |     1.0000    |  1.3402 |
| epoch 12 |   1.6094   |   0.2945   |     1.0000    |  1.3149 |
| epoch 13 |   1.6205   |   0.3030   |     1.0000    |  1.3175 |
| epoch 14 |   1.5873   |   0.2847   |     1.0000    |  1.3026 |
| epoch 15 |   1.5800   |   0.2805   |     1.0000    |  1.2996 |
| epoch 16 |   1.6116   |   0.2882   |     1.0000    |  1.3234 |
| epoch 17 |   1.6041   |   0.2838   |     1.0000    |  1.3203 |
| epoch 18 |   1.5959   |   0.2732   |     1.0000    |  1.3226 |
| epoch 19 |   1.5970   |   0.2702   |     1.0000    |  1.3268 |
| epoch 20 |   1.5894   |   0.2649   |     1.0000    |  1.3245 |
| epoch 21 |   1.5929   |   0.2625   |     1.0000    |  1.3304 |
| epoch 22 |   1.5775   |   0.2623   |     1.0000    |  1.3152 |
| epoch 23 |   1.5737   |   0.2591   |     1.0000    |  1.3146 |
| epoch 24 |   1.5685   |   0.2520   |     1.0000    |  1.3166 |
| epoch 25 |   1.5634   |   0.2491   |     1.0000    |  1.3143 |
| epoch 26 |   1.5774   |   0.2499   |     1.0000    |  1.3276 |
| epoch 27 |   1.5629   |   0.2431   |     1.0000    |  1.3197 |
| epoch 28 |   1.5832   |   0.2417   |     1.0000    |  1.3415 |
| epoch 29 |   1.5754   |   0.2412   |     1.0000    |  1.3342 |
| epoch 30 |   1.5581   |   0.2321   |     1.0000    |  1.3260 |
| epoch 31 |   1.5655   |   0.2315   |     1.0000    |  1.3340 |
| epoch 32 |   1.5642   |   0.2341   |     1.0000    |  1.3301 |
| epoch 33 |   1.5493   |   0.2260   |     1.0000    |  1.3233 |
| epoch 34 |   1.5493   |   0.2218   |     1.0000    |  1.3275 |
| epoch 35 |   1.5512   |   0.2168   |     1.0000    |  1.3344 |
| epoch 36 |   1.5561   |   0.2232   |     1.0000    |  1.3329 |
| epoch 37 |   1.5439   |   0.2165   |     1.0000    |  1.3274 |
| epoch 38 |   1.5491   |   0.2159   |     1.0000    |  1.3332 |
| epoch 39 |   1.5535   |   0.2161   |     1.0000    |  1.3374 |
| epoch 40 |   1.5490   |   0.2132   |     1.0000    |  1.3358 |
| epoch 41 |   1.5474   |   0.2085   |     1.0000    |  1.3390 |
| epoch 42 |   1.5497   |   0.2146   |     1.0000    |  1.3351 |
| epoch 43 |   1.5239   |   0.2035   |     1.0000    |  1.3204 |
| epoch 44 |   1.5280   |   0.2078   |     1.0000    |  1.3202 |
| epoch 45 |   1.5445   |   0.2111   |     1.0000    |  1.3334 |
| epoch 46 |   1.5286   |   0.2103   |     1.0000    |  1.3183 |
| epoch 47 |   1.5377   |   0.2061   |     1.0000    |  1.3317 |
| epoch 48 |   1.5505   |   0.2072   |     1.0000    |  1.3433 |
| epoch 49 |   1.5368   |   0.1965   |     1.0000    |  1.3403 |
| epoch 50 |   1.5420   |   0.1975   |     1.0000    |  1.3445 |
+----------+------------+------------+---------------+---------+
