+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.0923   |
| epoch 2  |   2.0377   |
| epoch 3  |   1.9913   |
| epoch 4  |   1.9427   |
| epoch 5  |   1.9050   |
| epoch 6  |   1.8655   |
| epoch 7  |   1.8458   |
| epoch 8  |   1.8176   |
| epoch 9  |   1.8005   |
| epoch 10 |   1.7843   |
| epoch 11 |   1.7692   |
| epoch 12 |   1.7559   |
| epoch 13 |   1.7383   |
| epoch 14 |   1.7264   |
| epoch 15 |   1.7142   |
| epoch 16 |   1.7035   |
| epoch 17 |   1.6916   |
| epoch 18 |   1.6831   |
| epoch 19 |   1.6714   |
| epoch 20 |   1.6677   |
| epoch 21 |   1.6494   |
| epoch 22 |   1.6399   |
| epoch 23 |   1.6327   |
| epoch 24 |   1.6261   |
| epoch 25 |   1.6164   |
| epoch 26 |   1.6107   |
| epoch 27 |   1.5972   |
| epoch 28 |   1.5931   |
| epoch 29 |   1.5854   |
| epoch 30 |   1.5808   |
| epoch 31 |   1.5734   |
| epoch 32 |   1.5673   |
| epoch 33 |   1.5583   |
| epoch 34 |   1.5547   |
| epoch 35 |   1.5527   |
| epoch 36 |   1.5460   |
| epoch 37 |   1.5417   |
| epoch 38 |   1.5345   |
| epoch 39 |   1.5323   |
| epoch 40 |   1.5273   |
| epoch 41 |   1.5189   |
| epoch 42 |   1.5249   |
| epoch 43 |   1.5227   |
| epoch 44 |   1.5122   |
| epoch 45 |   1.5119   |
| epoch 46 |   1.5069   |
| epoch 47 |   1.4999   |
| epoch 48 |   1.5023   |
| epoch 49 |   1.4995   |
| epoch 50 |   1.5070   |
+----------+------------+
