+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.1089   |
| epoch 2  |   2.0588   |
| epoch 3  |   2.0152   |
| epoch 4  |   1.9713   |
| epoch 5  |   1.9343   |
| epoch 6  |   1.8926   |
| epoch 7  |   1.8694   |
| epoch 8  |   1.8428   |
| epoch 9  |   1.8210   |
| epoch 10 |   1.8043   |
| epoch 11 |   1.7856   |
| epoch 12 |   1.7726   |
| epoch 13 |   1.7567   |
| epoch 14 |   1.7430   |
| epoch 15 |   1.7305   |
| epoch 16 |   1.7230   |
| epoch 17 |   1.7097   |
| epoch 18 |   1.7000   |
| epoch 19 |   1.6863   |
| epoch 20 |   1.6823   |
| epoch 21 |   1.6658   |
| epoch 22 |   1.6543   |
| epoch 23 |   1.6492   |
| epoch 24 |   1.6380   |
| epoch 25 |   1.6254   |
| epoch 26 |   1.6206   |
| epoch 27 |   1.6092   |
| epoch 28 |   1.6014   |
| epoch 29 |   1.5938   |
| epoch 30 |   1.5890   |
| epoch 31 |   1.5787   |
| epoch 32 |   1.5737   |
| epoch 33 |   1.5619   |
| epoch 34 |   1.5589   |
| epoch 35 |   1.5528   |
| epoch 36 |   1.5518   |
| epoch 37 |   1.5418   |
| epoch 38 |   1.5399   |
| epoch 39 |   1.5356   |
| epoch 40 |   1.5263   |
| epoch 41 |   1.5220   |
| epoch 42 |   1.5243   |
| epoch 43 |   1.5223   |
| epoch 44 |   1.5129   |
| epoch 45 |   1.5153   |
| epoch 46 |   1.5059   |
| epoch 47 |   1.5002   |
| epoch 48 |   1.5023   |
| epoch 49 |   1.4995   |
| epoch 50 |   1.5052   |
+----------+------------+
