+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.2866   |   3.2866   |     0.0000    |  0.0000 |
| epoch 2  |   3.2308   |   3.2308   |     0.0000    |  0.0000 |
| epoch 3  |   3.1896   |   3.1896   |     0.0000    |  0.0000 |
| epoch 4  |   3.1543   |   3.1543   |     0.0000    |  0.0000 |
| epoch 5  |   3.1117   |   3.1117   |     0.0000    |  0.0000 |
| epoch 6  |   3.0718   |   3.0718   |     0.0000    |  0.0000 |
| epoch 7  |   3.0411   |   3.0411   |     0.0000    |  0.0000 |
| epoch 8  |   3.0025   |   3.0025   |     0.0000    |  0.0000 |
| epoch 9  |   2.9675   |   2.9675   |     0.0000    |  0.0000 |
| epoch 10 |   4.3264   |   2.9321   |     1.0000    |  1.3943 |
| epoch 11 |   4.2819   |   2.9114   |     1.0000    |  1.3705 |
| epoch 12 |   4.2510   |   2.8898   |     1.0000    |  1.3613 |
| epoch 13 |   4.2187   |   2.8656   |     1.0000    |  1.3531 |
| epoch 14 |   4.1887   |   2.8399   |     1.0000    |  1.3488 |
| epoch 15 |   4.1658   |   2.8204   |     1.0000    |  1.3454 |
| epoch 16 |   4.1336   |   2.7999   |     1.0000    |  1.3337 |
| epoch 17 |   4.1203   |   2.7885   |     1.0000    |  1.3318 |
| epoch 18 |   4.1066   |   2.7706   |     1.0000    |  1.3360 |
| epoch 19 |   4.0994   |   2.7569   |     1.0000    |  1.3425 |
| epoch 20 |   4.0882   |   2.7447   |     1.0000    |  1.3435 |
| epoch 21 |   4.0665   |   2.7175   |     1.0000    |  1.3490 |
| epoch 22 |   4.0496   |   2.7020   |     1.0000    |  1.3476 |
| epoch 23 |   4.0401   |   2.6910   |     1.0000    |  1.3490 |
| epoch 24 |   4.0174   |   2.6749   |     1.0000    |  1.3425 |
| epoch 25 |   3.9939   |   2.6538   |     1.0000    |  1.3401 |
| epoch 26 |   3.9905   |   2.6486   |     1.0000    |  1.3419 |
| epoch 27 |   3.9595   |   2.6176   |     1.0000    |  1.3419 |
| epoch 28 |   3.9531   |   2.6112   |     1.0000    |  1.3419 |
| epoch 29 |   3.9414   |   2.5965   |     1.0000    |  1.3449 |
| epoch 30 |   3.9229   |   2.5761   |     1.0000    |  1.3467 |
| epoch 31 |   3.9090   |   2.5605   |     1.0000    |  1.3486 |
| epoch 32 |   3.8964   |   2.5471   |     1.0000    |  1.3493 |
| epoch 33 |   3.8743   |   2.5289   |     1.0000    |  1.3455 |
| epoch 34 |   3.8649   |   2.5164   |     1.0000    |  1.3485 |
| epoch 35 |   3.8500   |   2.5050   |     1.0000    |  1.3450 |
| epoch 36 |   3.8348   |   2.4861   |     1.0000    |  1.3487 |
| epoch 37 |   3.8115   |   2.4710   |     1.0000    |  1.3405 |
| epoch 38 |   3.7990   |   2.4567   |     1.0000    |  1.3423 |
| epoch 39 |   3.7959   |   2.4456   |     1.0000    |  1.3503 |
| epoch 40 |   3.7786   |   2.4303   |     1.0000    |  1.3483 |
| epoch 41 |   3.7656   |   2.4142   |     1.0000    |  1.3514 |
| epoch 42 |   3.7600   |   2.4128   |     1.0000    |  1.3472 |
| epoch 43 |   3.7388   |   2.3921   |     1.0000    |  1.3467 |
| epoch 44 |   3.7205   |   2.3741   |     1.0000    |  1.3463 |
| epoch 45 |   3.7055   |   2.3614   |     1.0000    |  1.3441 |
| epoch 46 |   3.6920   |   2.3474   |     1.0000    |  1.3446 |
| epoch 47 |   3.6833   |   2.3373   |     1.0000    |  1.3460 |
| epoch 48 |   3.6664   |   2.3232   |     1.0000    |  1.3433 |
| epoch 49 |   3.6653   |   2.3186   |     1.0000    |  1.3467 |
| epoch 50 |   3.6447   |   2.3022   |     1.0000    |  1.3425 |
+----------+------------+------------+---------------+---------+
