+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   0.7294   |   0.7294   |     0.0000    |  0.0000 |
| epoch 2  |   0.6908   |   0.6908   |     0.0000    |  0.0000 |
| epoch 3  |   0.6723   |   0.6723   |     0.0000    |  0.0000 |
| epoch 4  |   0.6427   |   0.6427   |     0.0000    |  0.0000 |
| epoch 5  |   0.6226   |   0.6226   |     0.0000    |  0.0000 |
| epoch 6  |   0.5951   |   0.5951   |     0.0000    |  0.0000 |
| epoch 7  |   0.5845   |   0.5845   |     0.0000    |  0.0000 |
| epoch 8  |   0.5565   |   0.5565   |     0.0000    |  0.0000 |
| epoch 9  |   0.5374   |   0.5374   |     0.0000    |  0.0000 |
| epoch 10 |   1.9194   |   0.5268   |     1.0000    |  1.3926 |
| epoch 11 |   1.8908   |   0.5127   |     1.0000    |  1.3781 |
| epoch 12 |   1.8646   |   0.4906   |     1.0000    |  1.3740 |
| epoch 13 |   1.8577   |   0.4853   |     1.0000    |  1.3725 |
| epoch 14 |   1.8280   |   0.4640   |     1.0000    |  1.3640 |
| epoch 15 |   1.8092   |   0.4500   |     1.0000    |  1.3592 |
| epoch 16 |   1.8013   |   0.4427   |     1.0000    |  1.3586 |
| epoch 17 |   1.7919   |   0.4343   |     1.0000    |  1.3576 |
| epoch 18 |   1.7917   |   0.4311   |     1.0000    |  1.3606 |
| epoch 19 |   1.7783   |   0.4194   |     1.0000    |  1.3589 |
| epoch 20 |   1.7672   |   0.4084   |     1.0000    |  1.3588 |
| epoch 21 |   1.7685   |   0.4096   |     1.0000    |  1.3589 |
| epoch 22 |   1.7587   |   0.4007   |     1.0000    |  1.3579 |
| epoch 23 |   1.7522   |   0.3957   |     1.0000    |  1.3565 |
| epoch 24 |   1.7364   |   0.3844   |     1.0000    |  1.3520 |
| epoch 25 |   1.7311   |   0.3786   |     1.0000    |  1.3525 |
| epoch 26 |   1.7309   |   0.3783   |     1.0000    |  1.3525 |
| epoch 27 |   1.7273   |   0.3736   |     1.0000    |  1.3538 |
| epoch 28 |   1.7211   |   0.3704   |     1.0000    |  1.3507 |
| epoch 29 |   1.7113   |   0.3613   |     1.0000    |  1.3501 |
| epoch 30 |   1.7105   |   0.3630   |     1.0000    |  1.3475 |
| epoch 31 |   1.7052   |   0.3536   |     1.0000    |  1.3516 |
| epoch 32 |   1.7011   |   0.3501   |     1.0000    |  1.3509 |
| epoch 33 |   1.6977   |   0.3452   |     1.0000    |  1.3525 |
| epoch 34 |   1.6820   |   0.3366   |     1.0000    |  1.3454 |
| epoch 35 |   1.6879   |   0.3398   |     1.0000    |  1.3482 |
| epoch 36 |   1.6779   |   0.3330   |     1.0000    |  1.3449 |
| epoch 37 |   1.6686   |   0.3268   |     1.0000    |  1.3418 |
| epoch 38 |   1.6730   |   0.3251   |     1.0000    |  1.3478 |
| epoch 39 |   1.6672   |   0.3226   |     1.0000    |  1.3446 |
| epoch 40 |   1.6690   |   0.3218   |     1.0000    |  1.3472 |
| epoch 41 |   1.6621   |   0.3165   |     1.0000    |  1.3456 |
| epoch 42 |   1.6611   |   0.3151   |     1.0000    |  1.3459 |
| epoch 43 |   1.6645   |   0.3150   |     1.0000    |  1.3495 |
| epoch 44 |   1.6458   |   0.3069   |     1.0000    |  1.3389 |
| epoch 45 |   1.6497   |   0.3001   |     1.0000    |  1.3495 |
| epoch 46 |   1.6408   |   0.2962   |     1.0000    |  1.3447 |
| epoch 47 |   1.6399   |   0.2966   |     1.0000    |  1.3433 |
| epoch 48 |   1.6323   |   0.2850   |     1.0000    |  1.3472 |
| epoch 49 |   1.6442   |   0.2970   |     1.0000    |  1.3472 |
| epoch 50 |   1.6455   |   0.2987   |     1.0000    |  1.3469 |
+----------+------------+------------+---------------+---------+
