+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   1.5990   |   1.5990   |     0.0000    |  0.0000 |
| epoch 2  |   1.4660   |   1.4660   |     0.0000    |  0.0000 |
| epoch 3  |   1.4021   |   1.4021   |     0.0000    |  0.0000 |
| epoch 4  |   1.3222   |   1.3222   |     0.0000    |  0.0000 |
| epoch 5  |   1.3170   |   1.3170   |     0.0000    |  0.0000 |
| epoch 6  |   1.2541   |   1.2541   |     0.0000    |  0.0000 |
| epoch 7  |   1.2201   |   1.2201   |     0.0000    |  0.0000 |
| epoch 8  |   1.1918   |   1.1918   |     0.0000    |  0.0000 |
| epoch 9  |   1.1473   |   1.1473   |     0.0000    |  0.0000 |
| epoch 10 |   2.5166   |   1.1211   |     1.0000    |  1.3955 |
| epoch 11 |   2.4644   |   1.0928   |     1.0000    |  1.3716 |
| epoch 12 |   2.4781   |   1.1043   |     1.0000    |  1.3738 |
| epoch 13 |   2.4134   |   1.0490   |     1.0000    |  1.3643 |
| epoch 14 |   2.4074   |   1.0417   |     1.0000    |  1.3657 |
| epoch 15 |   2.3934   |   1.0285   |     1.0000    |  1.3649 |
| epoch 16 |   2.3603   |   0.9949   |     1.0000    |  1.3654 |
| epoch 17 |   2.3511   |   0.9887   |     1.0000    |  1.3625 |
| epoch 18 |   2.3620   |   1.0021   |     1.0000    |  1.3600 |
| epoch 19 |   2.3261   |   0.9643   |     1.0000    |  1.3617 |
| epoch 20 |   2.3281   |   0.9702   |     1.0000    |  1.3580 |
| epoch 21 |   2.3125   |   0.9549   |     1.0000    |  1.3576 |
| epoch 22 |   2.3009   |   0.9424   |     1.0000    |  1.3584 |
| epoch 23 |   2.2956   |   0.9332   |     1.0000    |  1.3624 |
| epoch 24 |   2.2960   |   0.9343   |     1.0000    |  1.3617 |
| epoch 25 |   2.2932   |   0.9294   |     1.0000    |  1.3638 |
| epoch 26 |   2.2626   |   0.8990   |     1.0000    |  1.3635 |
| epoch 27 |   2.2531   |   0.8830   |     1.0000    |  1.3701 |
| epoch 28 |   2.2438   |   0.8757   |     1.0000    |  1.3681 |
| epoch 29 |   2.2380   |   0.8661   |     1.0000    |  1.3719 |
| epoch 30 |   2.2386   |   0.8622   |     1.0000    |  1.3764 |
| epoch 31 |   2.2344   |   0.8592   |     1.0000    |  1.3753 |
| epoch 32 |   2.2066   |   0.8325   |     1.0000    |  1.3741 |
| epoch 33 |   2.2013   |   0.8288   |     1.0000    |  1.3726 |
| epoch 34 |   2.1799   |   0.8086   |     1.0000    |  1.3713 |
| epoch 35 |   2.1871   |   0.8120   |     1.0000    |  1.3752 |
| epoch 36 |   2.1722   |   0.7954   |     1.0000    |  1.3767 |
| epoch 37 |   2.1621   |   0.7865   |     1.0000    |  1.3756 |
| epoch 38 |   2.1662   |   0.7885   |     1.0000    |  1.3776 |
| epoch 39 |   2.1515   |   0.7784   |     1.0000    |  1.3731 |
| epoch 40 |   2.1275   |   0.7566   |     1.0000    |  1.3709 |
| epoch 41 |   2.1261   |   0.7514   |     1.0000    |  1.3747 |
| epoch 42 |   2.1242   |   0.7487   |     1.0000    |  1.3755 |
| epoch 43 |   2.0919   |   0.7193   |     1.0000    |  1.3726 |
| epoch 44 |   2.0867   |   0.7170   |     1.0000    |  1.3697 |
| epoch 45 |   2.1162   |   0.7344   |     1.0000    |  1.3818 |
| epoch 46 |   2.0859   |   0.7090   |     1.0000    |  1.3769 |
| epoch 47 |   2.0779   |   0.7055   |     1.0000    |  1.3723 |
| epoch 48 |   2.0742   |   0.6984   |     1.0000    |  1.3758 |
| epoch 49 |   2.0729   |   0.6983   |     1.0000    |  1.3745 |
| epoch 50 |   2.0533   |   0.6778   |     1.0000    |  1.3756 |
+----------+------------+------------+---------------+---------+
