+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   1.6269   |   1.6269   |     0.0000    |  0.0000 |
| epoch 2  |   1.5115   |   1.5115   |     0.0000    |  0.0000 |
| epoch 3  |   1.4586   |   1.4586   |     0.0000    |  0.0000 |
| epoch 4  |   1.3878   |   1.3878   |     0.0000    |  0.0000 |
| epoch 5  |   1.3854   |   1.3854   |     0.0000    |  0.0000 |
| epoch 6  |   1.3302   |   1.3302   |     0.0000    |  0.0000 |
| epoch 7  |   1.2958   |   1.2958   |     0.0000    |  0.0000 |
| epoch 8  |   1.2733   |   1.2733   |     0.0000    |  0.0000 |
| epoch 9  |   1.2361   |   1.2361   |     0.0000    |  0.0000 |
| epoch 10 |   2.6011   |   1.2136   |     1.0000    |  1.3874 |
| epoch 11 |   2.5385   |   1.1733   |     1.0000    |  1.3651 |
| epoch 12 |   2.5531   |   1.1887   |     1.0000    |  1.3644 |
| epoch 13 |   2.4937   |   1.1321   |     1.0000    |  1.3615 |
| epoch 14 |   2.4959   |   1.1302   |     1.0000    |  1.3657 |
| epoch 15 |   2.4761   |   1.1148   |     1.0000    |  1.3614 |
| epoch 16 |   2.4511   |   1.0888   |     1.0000    |  1.3624 |
| epoch 17 |   2.4263   |   1.0670   |     1.0000    |  1.3593 |
| epoch 18 |   2.4304   |   1.0729   |     1.0000    |  1.3575 |
| epoch 19 |   2.4065   |   1.0560   |     1.0000    |  1.3505 |
| epoch 20 |   2.4091   |   1.0579   |     1.0000    |  1.3512 |
| epoch 21 |   2.4019   |   1.0487   |     1.0000    |  1.3532 |
| epoch 22 |   2.3909   |   1.0351   |     1.0000    |  1.3558 |
| epoch 23 |   2.3794   |   1.0304   |     1.0000    |  1.3490 |
| epoch 24 |   2.3878   |   1.0333   |     1.0000    |  1.3545 |
| epoch 25 |   2.3838   |   1.0244   |     1.0000    |  1.3594 |
| epoch 26 |   2.3515   |   0.9958   |     1.0000    |  1.3557 |
| epoch 27 |   2.3480   |   0.9793   |     1.0000    |  1.3687 |
| epoch 28 |   2.3361   |   0.9747   |     1.0000    |  1.3614 |
| epoch 29 |   2.3390   |   0.9713   |     1.0000    |  1.3677 |
| epoch 30 |   2.3337   |   0.9654   |     1.0000    |  1.3684 |
| epoch 31 |   2.3363   |   0.9709   |     1.0000    |  1.3654 |
| epoch 32 |   2.3096   |   0.9439   |     1.0000    |  1.3657 |
| epoch 33 |   2.3148   |   0.9531   |     1.0000    |  1.3618 |
| epoch 34 |   2.2923   |   0.9327   |     1.0000    |  1.3597 |
| epoch 35 |   2.3043   |   0.9373   |     1.0000    |  1.3670 |
| epoch 36 |   2.2988   |   0.9299   |     1.0000    |  1.3689 |
| epoch 37 |   2.2844   |   0.9166   |     1.0000    |  1.3677 |
| epoch 38 |   2.2899   |   0.9226   |     1.0000    |  1.3673 |
| epoch 39 |   2.2868   |   0.9149   |     1.0000    |  1.3719 |
| epoch 40 |   2.2686   |   0.8995   |     1.0000    |  1.3691 |
| epoch 41 |   2.2642   |   0.8951   |     1.0000    |  1.3691 |
| epoch 42 |   2.2708   |   0.9008   |     1.0000    |  1.3700 |
| epoch 43 |   2.2268   |   0.8640   |     1.0000    |  1.3628 |
| epoch 44 |   2.2266   |   0.8601   |     1.0000    |  1.3665 |
| epoch 45 |   2.2517   |   0.8756   |     1.0000    |  1.3761 |
| epoch 46 |   2.2225   |   0.8539   |     1.0000    |  1.3685 |
| epoch 47 |   2.2313   |   0.8611   |     1.0000    |  1.3702 |
| epoch 48 |   2.2350   |   0.8617   |     1.0000    |  1.3733 |
| epoch 49 |   2.2142   |   0.8493   |     1.0000    |  1.3649 |
| epoch 50 |   2.1978   |   0.8299   |     1.0000    |  1.3679 |
+----------+------------+------------+---------------+---------+
