+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   1.5700   |
| epoch 2  |   1.4398   |
| epoch 3  |   1.3571   |
| epoch 4  |   1.3163   |
| epoch 5  |   1.2805   |
| epoch 6  |   1.2563   |
| epoch 7  |   1.2353   |
| epoch 8  |   1.2083   |
| epoch 9  |   1.1893   |
| epoch 10 |   1.1758   |
| epoch 11 |   1.1686   |
| epoch 12 |   1.1480   |
| epoch 13 |   1.1342   |
| epoch 14 |   1.1381   |
| epoch 15 |   1.1235   |
| epoch 16 |   1.1191   |
| epoch 17 |   1.1062   |
| epoch 18 |   1.1004   |
| epoch 19 |   1.0943   |
| epoch 20 |   1.1023   |
| epoch 21 |   1.0986   |
| epoch 22 |   1.0771   |
| epoch 23 |   1.0917   |
| epoch 24 |   1.0810   |
| epoch 25 |   1.0841   |
| epoch 26 |   1.0738   |
| epoch 27 |   1.0670   |
| epoch 28 |   1.0719   |
| epoch 29 |   1.0758   |
| epoch 30 |   1.0747   |
| epoch 31 |   1.0683   |
| epoch 32 |   1.0676   |
| epoch 33 |   1.0565   |
| epoch 34 |   1.0529   |
| epoch 35 |   1.0533   |
| epoch 36 |   1.0456   |
| epoch 37 |   1.0534   |
| epoch 38 |   1.0524   |
| epoch 39 |   1.0624   |
| epoch 40 |   1.0620   |
| epoch 41 |   1.0399   |
| epoch 42 |   1.0462   |
| epoch 43 |   1.0468   |
| epoch 44 |   1.0411   |
| epoch 45 |   1.0437   |
| epoch 46 |   1.0417   |
| epoch 47 |   1.0439   |
| epoch 48 |   1.0459   |
| epoch 49 |   1.0441   |
| epoch 50 |   1.0426   |
+----------+------------+
