+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.8684   |
| epoch 2  |   2.7387   |
| epoch 3  |   2.6785   |
| epoch 4  |   2.6404   |
| epoch 5  |   2.6077   |
| epoch 6  |   2.5832   |
| epoch 7  |   2.5626   |
| epoch 8  |   2.5410   |
| epoch 9  |   2.5302   |
| epoch 10 |   2.5103   |
| epoch 11 |   2.5007   |
| epoch 12 |   2.4904   |
| epoch 13 |   2.4749   |
| epoch 14 |   2.4675   |
| epoch 15 |   2.4610   |
| epoch 16 |   2.4515   |
| epoch 17 |   2.4390   |
| epoch 18 |   2.4361   |
| epoch 19 |   2.4312   |
| epoch 20 |   2.4260   |
| epoch 21 |   2.4182   |
| epoch 22 |   2.4119   |
| epoch 23 |   2.4081   |
| epoch 24 |   2.4066   |
| epoch 25 |   2.4007   |
| epoch 26 |   2.3942   |
| epoch 27 |   2.3913   |
| epoch 28 |   2.3896   |
| epoch 29 |   2.3909   |
| epoch 30 |   2.3806   |
| epoch 31 |   2.3802   |
| epoch 32 |   2.3811   |
| epoch 33 |   2.3737   |
| epoch 34 |   2.3779   |
| epoch 35 |   2.3723   |
| epoch 36 |   2.3699   |
| epoch 37 |   2.3700   |
| epoch 38 |   2.3643   |
| epoch 39 |   2.3611   |
| epoch 40 |   2.3616   |
| epoch 41 |   2.3663   |
| epoch 42 |   2.3574   |
| epoch 43 |   2.3579   |
| epoch 44 |   2.3531   |
| epoch 45 |   2.3529   |
| epoch 46 |   2.3565   |
| epoch 47 |   2.3536   |
| epoch 48 |   2.3536   |
| epoch 49 |   2.3528   |
| epoch 50 |   2.3486   |
+----------+------------+
