+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.9762   |
| epoch 2  |   2.8277   |
| epoch 3  |   2.7579   |
| epoch 4  |   2.7153   |
| epoch 5  |   2.6869   |
| epoch 6  |   2.6622   |
| epoch 7  |   2.6429   |
| epoch 8  |   2.6235   |
| epoch 9  |   2.6106   |
| epoch 10 |   2.6042   |
| epoch 11 |   2.5851   |
| epoch 12 |   2.5771   |
| epoch 13 |   2.5684   |
| epoch 14 |   2.5573   |
| epoch 15 |   2.5506   |
| epoch 16 |   2.5400   |
| epoch 17 |   2.5337   |
| epoch 18 |   2.5255   |
| epoch 19 |   2.5219   |
| epoch 20 |   2.5122   |
| epoch 21 |   2.5108   |
| epoch 22 |   2.5048   |
| epoch 23 |   2.5040   |
| epoch 24 |   2.4966   |
| epoch 25 |   2.4923   |
| epoch 26 |   2.4856   |
| epoch 27 |   2.4864   |
| epoch 28 |   2.4840   |
| epoch 29 |   2.4773   |
| epoch 30 |   2.4771   |
| epoch 31 |   2.4730   |
| epoch 32 |   2.4695   |
| epoch 33 |   2.4681   |
| epoch 34 |   2.4648   |
| epoch 35 |   2.4602   |
| epoch 36 |   2.4639   |
| epoch 37 |   2.4595   |
| epoch 38 |   2.4607   |
| epoch 39 |   2.4540   |
| epoch 40 |   2.4581   |
| epoch 41 |   2.4529   |
| epoch 42 |   2.4526   |
| epoch 43 |   2.4486   |
| epoch 44 |   2.4467   |
| epoch 45 |   2.4482   |
| epoch 46 |   2.4492   |
| epoch 47 |   2.4467   |
| epoch 48 |   2.4432   |
| epoch 49 |   2.4427   |
| epoch 50 |   2.4444   |
+----------+------------+
