+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.8944   |   3.8944   |     0.0000    |  0.0000 |
| epoch 2  |   3.6364   |   3.6364   |     0.0000    |  0.0000 |
| epoch 3  |   3.5271   |   3.5271   |     0.0000    |  0.0000 |
| epoch 4  |   3.4453   |   3.4453   |     0.0000    |  0.0000 |
| epoch 5  |   3.3896   |   3.3896   |     0.0000    |  0.0000 |
| epoch 6  |   3.3373   |   3.3373   |     0.0000    |  0.0000 |
| epoch 7  |   3.2866   |   3.2866   |     0.0000    |  0.0000 |
| epoch 8  |   3.2461   |   3.2461   |     0.0000    |  0.0000 |
| epoch 9  |   3.1927   |   3.1927   |     0.0000    |  0.0000 |
| epoch 10 |   4.4918   |   3.1565   |     1.0000    |  1.3353 |
| epoch 11 |   4.4613   |   3.1307   |     1.0000    |  1.3307 |
| epoch 12 |   4.4244   |   3.0940   |     1.0000    |  1.3304 |
| epoch 13 |   4.3536   |   3.0397   |     1.0000    |  1.3139 |
| epoch 14 |   4.3274   |   3.0101   |     1.0000    |  1.3173 |
| epoch 15 |   4.3078   |   2.9780   |     1.0000    |  1.3299 |
| epoch 16 |   4.2676   |   2.9416   |     1.0000    |  1.3260 |
| epoch 17 |   4.2199   |   2.8979   |     1.0000    |  1.3220 |
| epoch 18 |   4.1935   |   2.8681   |     1.0000    |  1.3253 |
| epoch 19 |   4.1620   |   2.8396   |     1.0000    |  1.3224 |
| epoch 20 |   4.1413   |   2.8101   |     1.0000    |  1.3312 |
| epoch 21 |   4.1118   |   2.7841   |     1.0000    |  1.3277 |
| epoch 22 |   4.0817   |   2.7555   |     1.0000    |  1.3262 |
| epoch 23 |   4.0626   |   2.7344   |     1.0000    |  1.3282 |
| epoch 24 |   4.0361   |   2.7096   |     1.0000    |  1.3265 |
| epoch 25 |   4.0200   |   2.6880   |     1.0000    |  1.3320 |
| epoch 26 |   3.9946   |   2.6615   |     1.0000    |  1.3331 |
| epoch 27 |   3.9836   |   2.6508   |     1.0000    |  1.3328 |
| epoch 28 |   3.9639   |   2.6297   |     1.0000    |  1.3342 |
| epoch 29 |   3.9350   |   2.6033   |     1.0000    |  1.3316 |
| epoch 30 |   3.9221   |   2.5896   |     1.0000    |  1.3325 |
| epoch 31 |   3.8938   |   2.5630   |     1.0000    |  1.3308 |
| epoch 32 |   3.8971   |   2.5539   |     1.0000    |  1.3431 |
| epoch 33 |   3.8714   |   2.5344   |     1.0000    |  1.3370 |
| epoch 34 |   3.8460   |   2.5109   |     1.0000    |  1.3351 |
| epoch 35 |   3.8292   |   2.4941   |     1.0000    |  1.3351 |
| epoch 36 |   3.8265   |   2.4841   |     1.0000    |  1.3423 |
| epoch 37 |   3.7978   |   2.4618   |     1.0000    |  1.3360 |
| epoch 38 |   3.7825   |   2.4458   |     1.0000    |  1.3366 |
| epoch 39 |   3.7673   |   2.4329   |     1.0000    |  1.3344 |
| epoch 40 |   3.7571   |   2.4167   |     1.0000    |  1.3404 |
| epoch 41 |   3.7321   |   2.3948   |     1.0000    |  1.3373 |
| epoch 42 |   3.7277   |   2.3871   |     1.0000    |  1.3406 |
| epoch 43 |   3.7058   |   2.3674   |     1.0000    |  1.3384 |
| epoch 44 |   3.6918   |   2.3540   |     1.0000    |  1.3378 |
| epoch 45 |   3.6701   |   2.3384   |     1.0000    |  1.3318 |
| epoch 46 |   3.6514   |   2.3192   |     1.0000    |  1.3321 |
| epoch 47 |   3.6481   |   2.3086   |     1.0000    |  1.3394 |
| epoch 48 |   3.6367   |   2.2966   |     1.0000    |  1.3402 |
| epoch 49 |   3.6200   |   2.2836   |     1.0000    |  1.3364 |
| epoch 50 |   3.6029   |   2.2691   |     1.0000    |  1.3338 |
+----------+------------+------------+---------------+---------+
