+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   0.6881   |   0.6881   |     0.0000    |  0.0000 |
| epoch 2  |   0.5560   |   0.5560   |     0.0000    |  0.0000 |
| epoch 3  |   0.4812   |   0.4812   |     0.0000    |  0.0000 |
| epoch 4  |   0.4339   |   0.4339   |     0.0000    |  0.0000 |
| epoch 5  |   0.4019   |   0.4019   |     0.0000    |  0.0000 |
| epoch 6  |   0.3709   |   0.3709   |     0.0000    |  0.0000 |
| epoch 7  |   0.3493   |   0.3493   |     0.0000    |  0.0000 |
| epoch 8  |   0.3411   |   0.3411   |     0.0000    |  0.0000 |
| epoch 9  |   0.3192   |   0.3192   |     0.0000    |  0.0000 |
| epoch 10 |   1.6936   |   0.3104   |     1.0000    |  1.3832 |
| epoch 11 |   1.6628   |   0.3006   |     1.0000    |  1.3622 |
| epoch 12 |   1.6532   |   0.2986   |     1.0000    |  1.3546 |
| epoch 13 |   1.6217   |   0.2771   |     1.0000    |  1.3446 |
| epoch 14 |   1.6159   |   0.2793   |     1.0000    |  1.3366 |
| epoch 15 |   1.6187   |   0.2764   |     1.0000    |  1.3423 |
| epoch 16 |   1.6182   |   0.2740   |     1.0000    |  1.3443 |
| epoch 17 |   1.6063   |   0.2639   |     1.0000    |  1.3425 |
| epoch 18 |   1.6032   |   0.2601   |     1.0000    |  1.3431 |
| epoch 19 |   1.5942   |   0.2572   |     1.0000    |  1.3370 |
| epoch 20 |   1.5928   |   0.2546   |     1.0000    |  1.3381 |
| epoch 21 |   1.5892   |   0.2503   |     1.0000    |  1.3389 |
| epoch 22 |   1.5816   |   0.2409   |     1.0000    |  1.3407 |
| epoch 23 |   1.5802   |   0.2370   |     1.0000    |  1.3433 |
| epoch 24 |   1.5917   |   0.2388   |     1.0000    |  1.3529 |
| epoch 25 |   1.5956   |   0.2409   |     1.0000    |  1.3547 |
| epoch 26 |   1.5871   |   0.2330   |     1.0000    |  1.3541 |
| epoch 27 |   1.5856   |   0.2344   |     1.0000    |  1.3511 |
| epoch 28 |   1.5738   |   0.2247   |     1.0000    |  1.3491 |
| epoch 29 |   1.5737   |   0.2220   |     1.0000    |  1.3517 |
| epoch 30 |   1.5769   |   0.2242   |     1.0000    |  1.3527 |
| epoch 31 |   1.5632   |   0.2133   |     1.0000    |  1.3498 |
| epoch 32 |   1.5628   |   0.2139   |     1.0000    |  1.3489 |
| epoch 33 |   1.5641   |   0.2090   |     1.0000    |  1.3551 |
| epoch 34 |   1.5607   |   0.2094   |     1.0000    |  1.3513 |
| epoch 35 |   1.5596   |   0.2053   |     1.0000    |  1.3544 |
| epoch 36 |   1.5589   |   0.2047   |     1.0000    |  1.3542 |
| epoch 37 |   1.5605   |   0.2040   |     1.0000    |  1.3564 |
| epoch 38 |   1.5466   |   0.1954   |     1.0000    |  1.3511 |
| epoch 39 |   1.5614   |   0.2024   |     1.0000    |  1.3590 |
| epoch 40 |   1.5598   |   0.1992   |     1.0000    |  1.3606 |
| epoch 41 |   1.5509   |   0.1919   |     1.0000    |  1.3590 |
| epoch 42 |   1.5507   |   0.1956   |     1.0000    |  1.3552 |
| epoch 43 |   1.5477   |   0.1923   |     1.0000    |  1.3554 |
| epoch 44 |   1.5436   |   0.1891   |     1.0000    |  1.3545 |
| epoch 45 |   1.5470   |   0.1899   |     1.0000    |  1.3571 |
| epoch 46 |   1.5409   |   0.1825   |     1.0000    |  1.3584 |
| epoch 47 |   1.5388   |   0.1802   |     1.0000    |  1.3586 |
| epoch 48 |   1.5326   |   0.1789   |     1.0000    |  1.3537 |
| epoch 49 |   1.5320   |   0.1790   |     1.0000    |  1.3530 |
| epoch 50 |   1.5313   |   0.1778   |     1.0000    |  1.3535 |
+----------+------------+------------+---------------+---------+
