+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.0181   |
| epoch 2  |   1.9562   |
| epoch 3  |   1.9047   |
| epoch 4  |   1.8640   |
| epoch 5  |   1.8280   |
| epoch 6  |   1.8049   |
| epoch 7  |   1.7728   |
| epoch 8  |   1.7576   |
| epoch 9  |   1.7382   |
| epoch 10 |   1.7268   |
| epoch 11 |   1.7070   |
| epoch 12 |   1.7022   |
| epoch 13 |   1.6897   |
| epoch 14 |   1.6728   |
| epoch 15 |   1.6632   |
| epoch 16 |   1.6526   |
| epoch 17 |   1.6394   |
| epoch 18 |   1.6339   |
| epoch 19 |   1.6207   |
| epoch 20 |   1.6101   |
| epoch 21 |   1.6024   |
| epoch 22 |   1.5901   |
| epoch 23 |   1.5851   |
| epoch 24 |   1.5764   |
| epoch 25 |   1.5667   |
| epoch 26 |   1.5597   |
| epoch 27 |   1.5539   |
| epoch 28 |   1.5436   |
| epoch 29 |   1.5412   |
| epoch 30 |   1.5324   |
| epoch 31 |   1.5295   |
| epoch 32 |   1.5190   |
| epoch 33 |   1.5139   |
| epoch 34 |   1.5086   |
| epoch 35 |   1.5013   |
| epoch 36 |   1.4971   |
| epoch 37 |   1.4931   |
| epoch 38 |   1.4909   |
| epoch 39 |   1.4844   |
| epoch 40 |   1.4797   |
| epoch 41 |   1.4780   |
| epoch 42 |   1.4724   |
| epoch 43 |   1.4699   |
| epoch 44 |   1.4655   |
| epoch 45 |   1.4563   |
| epoch 46 |   1.4647   |
| epoch 47 |   1.4565   |
| epoch 48 |   1.4506   |
| epoch 49 |   1.4485   |
| epoch 50 |   1.4455   |
+----------+------------+
