+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.0258   |
| epoch 2  |   1.9650   |
| epoch 3  |   1.9165   |
| epoch 4  |   1.8749   |
| epoch 5  |   1.8348   |
| epoch 6  |   1.8121   |
| epoch 7  |   1.7790   |
| epoch 8  |   1.7628   |
| epoch 9  |   1.7450   |
| epoch 10 |   1.7318   |
| epoch 11 |   1.7121   |
| epoch 12 |   1.7072   |
| epoch 13 |   1.6934   |
| epoch 14 |   1.6764   |
| epoch 15 |   1.6720   |
| epoch 16 |   1.6569   |
| epoch 17 |   1.6451   |
| epoch 18 |   1.6391   |
| epoch 19 |   1.6272   |
| epoch 20 |   1.6142   |
| epoch 21 |   1.6062   |
| epoch 22 |   1.5937   |
| epoch 23 |   1.5876   |
| epoch 24 |   1.5747   |
| epoch 25 |   1.5670   |
| epoch 26 |   1.5618   |
| epoch 27 |   1.5547   |
| epoch 28 |   1.5459   |
| epoch 29 |   1.5416   |
| epoch 30 |   1.5346   |
| epoch 31 |   1.5343   |
| epoch 32 |   1.5247   |
| epoch 33 |   1.5144   |
| epoch 34 |   1.5103   |
| epoch 35 |   1.5048   |
| epoch 36 |   1.4958   |
| epoch 37 |   1.4904   |
| epoch 38 |   1.4867   |
| epoch 39 |   1.4836   |
| epoch 40 |   1.4781   |
| epoch 41 |   1.4734   |
| epoch 42 |   1.4710   |
| epoch 43 |   1.4685   |
| epoch 44 |   1.4638   |
| epoch 45 |   1.4569   |
| epoch 46 |   1.4605   |
| epoch 47 |   1.4566   |
| epoch 48 |   1.4498   |
| epoch 49 |   1.4480   |
| epoch 50 |   1.4454   |
+----------+------------+
