+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.1902   |   3.1902   |     0.0000    |  0.0000 |
| epoch 2  |   3.1249   |   3.1249   |     0.0000    |  0.0000 |
| epoch 3  |   3.0855   |   3.0855   |     0.0000    |  0.0000 |
| epoch 4  |   3.0383   |   3.0383   |     0.0000    |  0.0000 |
| epoch 5  |   3.0067   |   3.0067   |     0.0000    |  0.0000 |
| epoch 6  |   2.9689   |   2.9689   |     0.0000    |  0.0000 |
| epoch 7  |   2.9300   |   2.9300   |     0.0000    |  0.0000 |
| epoch 8  |   2.8924   |   2.8924   |     0.0000    |  0.0000 |
| epoch 9  |   2.8552   |   2.8552   |     0.0000    |  0.0000 |
| epoch 10 |   4.2077   |   2.8238   |     1.0000    |  1.3839 |
| epoch 11 |   4.1710   |   2.8085   |     1.0000    |  1.3625 |
| epoch 12 |   4.1283   |   2.7828   |     1.0000    |  1.3455 |
| epoch 13 |   4.1172   |   2.7797   |     1.0000    |  1.3375 |
| epoch 14 |   4.0798   |   2.7520   |     1.0000    |  1.3278 |
| epoch 15 |   4.0518   |   2.7261   |     1.0000    |  1.3257 |
| epoch 16 |   4.0523   |   2.7238   |     1.0000    |  1.3285 |
| epoch 17 |   4.0280   |   2.7008   |     1.0000    |  1.3271 |
| epoch 18 |   4.0367   |   2.6907   |     1.0000    |  1.3460 |
| epoch 19 |   4.0132   |   2.6680   |     1.0000    |  1.3452 |
| epoch 20 |   3.9872   |   2.6476   |     1.0000    |  1.3396 |
| epoch 21 |   3.9787   |   2.6323   |     1.0000    |  1.3465 |
| epoch 22 |   3.9652   |   2.6184   |     1.0000    |  1.3468 |
| epoch 23 |   3.9556   |   2.6090   |     1.0000    |  1.3466 |
| epoch 24 |   3.9292   |   2.5851   |     1.0000    |  1.3441 |
| epoch 25 |   3.8977   |   2.5572   |     1.0000    |  1.3405 |
| epoch 26 |   3.8893   |   2.5516   |     1.0000    |  1.3377 |
| epoch 27 |   3.8761   |   2.5456   |     1.0000    |  1.3305 |
| epoch 28 |   3.8604   |   2.5224   |     1.0000    |  1.3380 |
| epoch 29 |   3.8501   |   2.5094   |     1.0000    |  1.3408 |
| epoch 30 |   3.8397   |   2.4990   |     1.0000    |  1.3408 |
| epoch 31 |   3.8269   |   2.4873   |     1.0000    |  1.3396 |
| epoch 32 |   3.8064   |   2.4650   |     1.0000    |  1.3415 |
| epoch 33 |   3.8011   |   2.4593   |     1.0000    |  1.3418 |
| epoch 34 |   3.7835   |   2.4393   |     1.0000    |  1.3442 |
| epoch 35 |   3.7675   |   2.4255   |     1.0000    |  1.3420 |
| epoch 36 |   3.7359   |   2.4031   |     1.0000    |  1.3328 |
| epoch 37 |   3.7439   |   2.4008   |     1.0000    |  1.3431 |
| epoch 38 |   3.7197   |   2.3829   |     1.0000    |  1.3368 |
| epoch 39 |   3.7151   |   2.3754   |     1.0000    |  1.3397 |
| epoch 40 |   3.7020   |   2.3618   |     1.0000    |  1.3402 |
| epoch 41 |   3.6880   |   2.3466   |     1.0000    |  1.3414 |
| epoch 42 |   3.6668   |   2.3263   |     1.0000    |  1.3405 |
| epoch 43 |   3.6573   |   2.3169   |     1.0000    |  1.3404 |
| epoch 44 |   3.6525   |   2.3119   |     1.0000    |  1.3406 |
| epoch 45 |   3.6326   |   2.2940   |     1.0000    |  1.3386 |
| epoch 46 |   3.6167   |   2.2760   |     1.0000    |  1.3407 |
| epoch 47 |   3.6148   |   2.2736   |     1.0000    |  1.3412 |
| epoch 48 |   3.5959   |   2.2511   |     1.0000    |  1.3448 |
| epoch 49 |   3.5857   |   2.2445   |     1.0000    |  1.3411 |
| epoch 50 |   3.5807   |   2.2371   |     1.0000    |  1.3436 |
+----------+------------+------------+---------------+---------+
