+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   0.7241   |   0.7241   |     0.0000    |  0.0000 |
| epoch 2  |   0.6739   |   0.6739   |     0.0000    |  0.0000 |
| epoch 3  |   0.6429   |   0.6429   |     0.0000    |  0.0000 |
| epoch 4  |   0.6070   |   0.6070   |     0.0000    |  0.0000 |
| epoch 5  |   0.5809   |   0.5809   |     0.0000    |  0.0000 |
| epoch 6  |   0.5577   |   0.5577   |     0.0000    |  0.0000 |
| epoch 7  |   0.5360   |   0.5360   |     0.0000    |  0.0000 |
| epoch 8  |   0.5100   |   0.5100   |     0.0000    |  0.0000 |
| epoch 9  |   0.4866   |   0.4866   |     0.0000    |  0.0000 |
| epoch 10 |   1.8554   |   0.4742   |     1.0000    |  1.3812 |
| epoch 11 |   1.8102   |   0.4537   |     1.0000    |  1.3566 |
| epoch 12 |   1.7915   |   0.4410   |     1.0000    |  1.3505 |
| epoch 13 |   1.7844   |   0.4406   |     1.0000    |  1.3438 |
| epoch 14 |   1.7805   |   0.4351   |     1.0000    |  1.3454 |
| epoch 15 |   1.7606   |   0.4226   |     1.0000    |  1.3379 |
| epoch 16 |   1.7535   |   0.4193   |     1.0000    |  1.3342 |
| epoch 17 |   1.7329   |   0.4023   |     1.0000    |  1.3305 |
| epoch 18 |   1.7560   |   0.4093   |     1.0000    |  1.3467 |
| epoch 19 |   1.7435   |   0.4021   |     1.0000    |  1.3413 |
| epoch 20 |   1.7497   |   0.4024   |     1.0000    |  1.3473 |
| epoch 21 |   1.7438   |   0.3954   |     1.0000    |  1.3484 |
| epoch 22 |   1.7277   |   0.3844   |     1.0000    |  1.3433 |
| epoch 23 |   1.7272   |   0.3843   |     1.0000    |  1.3429 |
| epoch 24 |   1.7253   |   0.3792   |     1.0000    |  1.3461 |
| epoch 25 |   1.7141   |   0.3729   |     1.0000    |  1.3411 |
| epoch 26 |   1.7172   |   0.3736   |     1.0000    |  1.3436 |
| epoch 27 |   1.7136   |   0.3691   |     1.0000    |  1.3444 |
| epoch 28 |   1.6959   |   0.3580   |     1.0000    |  1.3379 |
| epoch 29 |   1.6959   |   0.3592   |     1.0000    |  1.3366 |
| epoch 30 |   1.6944   |   0.3542   |     1.0000    |  1.3403 |
| epoch 31 |   1.6951   |   0.3510   |     1.0000    |  1.3441 |
| epoch 32 |   1.6927   |   0.3477   |     1.0000    |  1.3450 |
| epoch 33 |   1.6826   |   0.3379   |     1.0000    |  1.3447 |
| epoch 34 |   1.6711   |   0.3321   |     1.0000    |  1.3390 |
| epoch 35 |   1.6671   |   0.3260   |     1.0000    |  1.3411 |
| epoch 36 |   1.6709   |   0.3274   |     1.0000    |  1.3435 |
| epoch 37 |   1.6633   |   0.3246   |     1.0000    |  1.3387 |
| epoch 38 |   1.6700   |   0.3260   |     1.0000    |  1.3440 |
| epoch 39 |   1.6739   |   0.3258   |     1.0000    |  1.3481 |
| epoch 40 |   1.6694   |   0.3219   |     1.0000    |  1.3475 |
| epoch 41 |   1.6553   |   0.3127   |     1.0000    |  1.3425 |
| epoch 42 |   1.6503   |   0.3069   |     1.0000    |  1.3434 |
| epoch 43 |   1.6507   |   0.3068   |     1.0000    |  1.3439 |
| epoch 44 |   1.6436   |   0.3006   |     1.0000    |  1.3430 |
| epoch 45 |   1.6393   |   0.2966   |     1.0000    |  1.3427 |
| epoch 46 |   1.6422   |   0.3006   |     1.0000    |  1.3417 |
| epoch 47 |   1.6374   |   0.2922   |     1.0000    |  1.3452 |
| epoch 48 |   1.6330   |   0.2897   |     1.0000    |  1.3433 |
| epoch 49 |   1.6329   |   0.2855   |     1.0000    |  1.3474 |
| epoch 50 |   1.6159   |   0.2757   |     1.0000    |  1.3402 |
+----------+------------+------------+---------------+---------+
