+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.3243   |   3.3243   |     0.0000    |  0.0000 |
| epoch 2  |   2.8391   |   2.8391   |     0.0000    |  0.0000 |
| epoch 3  |   2.5080   |   2.5080   |     0.0000    |  0.0000 |
| epoch 4  |   2.2633   |   2.2633   |     0.0000    |  0.0000 |
| epoch 5  |   2.0692   |   2.0692   |     0.0000    |  0.0000 |
| epoch 6  |   1.9147   |   1.9147   |     0.0000    |  0.0000 |
| epoch 7  |   1.8216   |   1.8216   |     0.0000    |  0.0000 |
| epoch 8  |   1.6957   |   1.6957   |     0.0000    |  0.0000 |
| epoch 9  |   1.5977   |   1.5977   |     0.0000    |  0.0000 |
| epoch 10 |   2.9952   |   1.6122   |     1.0000    |  1.3829 |
| epoch 11 |   2.8728   |   1.4917   |     1.0000    |  1.3811 |
| epoch 12 |   2.8100   |   1.4364   |     1.0000    |  1.3736 |
| epoch 13 |   2.7321   |   1.3576   |     1.0000    |  1.3745 |
| epoch 14 |   2.6975   |   1.3233   |     1.0000    |  1.3742 |
| epoch 15 |   2.6616   |   1.2899   |     1.0000    |  1.3716 |
| epoch 16 |   2.6114   |   1.2404   |     1.0000    |  1.3710 |
| epoch 17 |   2.5845   |   1.2156   |     1.0000    |  1.3689 |
| epoch 18 |   2.5334   |   1.1716   |     1.0000    |  1.3619 |
| epoch 19 |   2.4979   |   1.1345   |     1.0000    |  1.3634 |
| epoch 20 |   2.4852   |   1.1222   |     1.0000    |  1.3631 |
| epoch 21 |   2.4408   |   1.0865   |     1.0000    |  1.3543 |
| epoch 22 |   2.3968   |   1.0460   |     1.0000    |  1.3508 |
| epoch 23 |   2.3906   |   1.0404   |     1.0000    |  1.3502 |
| epoch 24 |   2.3511   |   0.9977   |     1.0000    |  1.3534 |
| epoch 25 |   2.3180   |   0.9680   |     1.0000    |  1.3500 |
| epoch 26 |   2.2934   |   0.9515   |     1.0000    |  1.3419 |
| epoch 27 |   2.2789   |   0.9480   |     1.0000    |  1.3309 |
| epoch 28 |   2.2332   |   0.9013   |     1.0000    |  1.3319 |
| epoch 29 |   2.1865   |   0.8532   |     1.0000    |  1.3333 |
| epoch 30 |   2.1693   |   0.8319   |     1.0000    |  1.3375 |
| epoch 31 |   2.1417   |   0.8020   |     1.0000    |  1.3397 |
| epoch 32 |   2.1386   |   0.8030   |     1.0000    |  1.3357 |
| epoch 33 |   2.1845   |   0.8402   |     1.0000    |  1.3444 |
| epoch 34 |   2.1747   |   0.8491   |     1.0000    |  1.3256 |
| epoch 35 |   2.0592   |   0.7473   |     1.0000    |  1.3118 |
| epoch 36 |   2.0547   |   0.7453   |     1.0000    |  1.3094 |
| epoch 37 |   2.0053   |   0.7088   |     1.0000    |  1.2965 |
| epoch 38 |   1.9629   |   0.6662   |     1.0000    |  1.2966 |
| epoch 39 |   1.9490   |   0.6592   |     1.0000    |  1.2898 |
| epoch 40 |   1.9222   |   0.6283   |     1.0000    |  1.2939 |
| epoch 41 |   1.8900   |   0.6061   |     1.0000    |  1.2839 |
| epoch 42 |   1.8963   |   0.5880   |     1.0000    |  1.3082 |
| epoch 43 |   1.8717   |   0.5780   |     1.0000    |  1.2936 |
| epoch 44 |   1.8619   |   0.5645   |     1.0000    |  1.2974 |
| epoch 45 |   1.8723   |   0.5896   |     1.0000    |  1.2826 |
| epoch 46 |   1.8523   |   0.5613   |     1.0000    |  1.2911 |
| epoch 47 |   1.8211   |   0.5373   |     1.0000    |  1.2838 |
| epoch 48 |   1.8260   |   0.5287   |     1.0000    |  1.2973 |
| epoch 49 |   1.7963   |   0.5187   |     1.0000    |  1.2776 |
| epoch 50 |   1.7835   |   0.5074   |     1.0000    |  1.2761 |
+----------+------------+------------+---------------+---------+
