+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   1.8747   |   1.8747   |     0.0000    |  0.0000 |
| epoch 2  |   1.4995   |   1.4995   |     0.0000    |  0.0000 |
| epoch 3  |   1.3004   |   1.3004   |     0.0000    |  0.0000 |
| epoch 4  |   1.1621   |   1.1621   |     0.0000    |  0.0000 |
| epoch 5  |   1.0417   |   1.0417   |     0.0000    |  0.0000 |
| epoch 6  |   0.9344   |   0.9344   |     0.0000    |  0.0000 |
| epoch 7  |   0.8331   |   0.8331   |     0.0000    |  0.0000 |
| epoch 8  |   0.7518   |   0.7518   |     0.0000    |  0.0000 |
| epoch 9  |   0.6779   |   0.6779   |     0.0000    |  0.0000 |
| epoch 10 |   2.0189   |   0.6254   |     1.0000    |  1.3934 |
| epoch 11 |   1.9563   |   0.5713   |     1.0000    |  1.3849 |
| epoch 12 |   1.9089   |   0.5252   |     1.0000    |  1.3837 |
| epoch 13 |   1.8603   |   0.4765   |     1.0000    |  1.3837 |
| epoch 14 |   1.8205   |   0.4420   |     1.0000    |  1.3785 |
| epoch 15 |   1.7890   |   0.4109   |     1.0000    |  1.3781 |
| epoch 16 |   1.7585   |   0.3839   |     1.0000    |  1.3746 |
| epoch 17 |   1.7422   |   0.3677   |     1.0000    |  1.3744 |
| epoch 18 |   1.7114   |   0.3437   |     1.0000    |  1.3677 |
| epoch 19 |   1.6902   |   0.3195   |     1.0000    |  1.3707 |
| epoch 20 |   1.6765   |   0.3116   |     1.0000    |  1.3649 |
| epoch 21 |   1.6550   |   0.2932   |     1.0000    |  1.3618 |
| epoch 22 |   1.6410   |   0.2835   |     1.0000    |  1.3575 |
| epoch 23 |   1.6250   |   0.2723   |     1.0000    |  1.3527 |
| epoch 24 |   1.6156   |   0.2603   |     1.0000    |  1.3554 |
| epoch 25 |   1.6067   |   0.2562   |     1.0000    |  1.3505 |
| epoch 26 |   1.5985   |   0.2459   |     1.0000    |  1.3526 |
| epoch 27 |   1.5950   |   0.2377   |     1.0000    |  1.3573 |
| epoch 28 |   1.5847   |   0.2335   |     1.0000    |  1.3512 |
| epoch 29 |   1.5853   |   0.2287   |     1.0000    |  1.3567 |
| epoch 30 |   1.5765   |   0.2220   |     1.0000    |  1.3546 |
| epoch 31 |   1.5593   |   0.2111   |     1.0000    |  1.3482 |
| epoch 32 |   1.5457   |   0.2119   |     1.0000    |  1.3338 |
| epoch 33 |   1.5535   |   0.2151   |     1.0000    |  1.3384 |
| epoch 34 |   1.5462   |   0.2151   |     1.0000    |  1.3311 |
| epoch 35 |   1.5203   |   0.2024   |     1.0000    |  1.3179 |
| epoch 36 |   1.5390   |   0.2123   |     1.0000    |  1.3268 |
| epoch 37 |   1.5315   |   0.2114   |     1.0000    |  1.3202 |
| epoch 38 |   1.5361   |   0.2073   |     1.0000    |  1.3288 |
| epoch 39 |   1.5510   |   0.2053   |     1.0000    |  1.3457 |
| epoch 40 |   1.5440   |   0.2006   |     1.0000    |  1.3434 |
| epoch 41 |   1.5336   |   0.1973   |     1.0000    |  1.3364 |
| epoch 42 |   1.5310   |   0.1970   |     1.0000    |  1.3341 |
| epoch 43 |   1.5252   |   0.1909   |     1.0000    |  1.3344 |
| epoch 44 |   1.5121   |   0.1952   |     1.0000    |  1.3170 |
| epoch 45 |   1.5102   |   0.1972   |     1.0000    |  1.3130 |
| epoch 46 |   1.5186   |   0.1961   |     1.0000    |  1.3225 |
| epoch 47 |   1.5157   |   0.1956   |     1.0000    |  1.3201 |
| epoch 48 |   1.5077   |   0.1964   |     1.0000    |  1.3112 |
| epoch 49 |   1.5076   |   0.1937   |     1.0000    |  1.3139 |
| epoch 50 |   1.5120   |   0.1954   |     1.0000    |  1.3165 |
+----------+------------+------------+---------------+---------+
