+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   0.6850   |   0.6850   |     0.0000    |  0.0000 |
| epoch 2  |   0.6067   |   0.6067   |     0.0000    |  0.0000 |
| epoch 3  |   0.5253   |   0.5253   |     0.0000    |  0.0000 |
| epoch 4  |   0.4657   |   0.4657   |     0.0000    |  0.0000 |
| epoch 5  |   0.4306   |   0.4306   |     0.0000    |  0.0000 |
| epoch 6  |   0.3992   |   0.3992   |     0.0000    |  0.0000 |
| epoch 7  |   0.3780   |   0.3780   |     0.0000    |  0.0000 |
| epoch 8  |   0.3615   |   0.3615   |     0.0000    |  0.0000 |
| epoch 9  |   0.3482   |   0.3482   |     0.0000    |  0.0000 |
| epoch 10 |   1.7089   |   0.3381   |     1.0000    |  1.3708 |
| epoch 11 |   1.6897   |   0.3353   |     1.0000    |  1.3544 |
| epoch 12 |   1.6778   |   0.3267   |     1.0000    |  1.3512 |
| epoch 13 |   1.6549   |   0.3163   |     1.0000    |  1.3386 |
| epoch 14 |   1.6528   |   0.3158   |     1.0000    |  1.3370 |
| epoch 15 |   1.6412   |   0.3036   |     1.0000    |  1.3375 |
| epoch 16 |   1.6356   |   0.2943   |     1.0000    |  1.3413 |
| epoch 17 |   1.6322   |   0.2919   |     1.0000    |  1.3403 |
| epoch 18 |   1.6268   |   0.2836   |     1.0000    |  1.3432 |
| epoch 19 |   1.6225   |   0.2832   |     1.0000    |  1.3393 |
| epoch 20 |   1.6247   |   0.2815   |     1.0000    |  1.3432 |
| epoch 21 |   1.6267   |   0.2780   |     1.0000    |  1.3488 |
| epoch 22 |   1.6263   |   0.2748   |     1.0000    |  1.3515 |
| epoch 23 |   1.6066   |   0.2587   |     1.0000    |  1.3479 |
| epoch 24 |   1.6150   |   0.2604   |     1.0000    |  1.3546 |
| epoch 25 |   1.6139   |   0.2587   |     1.0000    |  1.3552 |
| epoch 26 |   1.6068   |   0.2530   |     1.0000    |  1.3538 |
| epoch 27 |   1.6041   |   0.2505   |     1.0000    |  1.3536 |
| epoch 28 |   1.5995   |   0.2477   |     1.0000    |  1.3518 |
| epoch 29 |   1.5936   |   0.2445   |     1.0000    |  1.3491 |
| epoch 30 |   1.5925   |   0.2408   |     1.0000    |  1.3517 |
| epoch 31 |   1.5930   |   0.2399   |     1.0000    |  1.3531 |
| epoch 32 |   1.5841   |   0.2326   |     1.0000    |  1.3515 |
| epoch 33 |   1.5850   |   0.2318   |     1.0000    |  1.3532 |
| epoch 34 |   1.5886   |   0.2300   |     1.0000    |  1.3586 |
| epoch 35 |   1.5797   |   0.2267   |     1.0000    |  1.3529 |
| epoch 36 |   1.5808   |   0.2251   |     1.0000    |  1.3557 |
| epoch 37 |   1.5717   |   0.2157   |     1.0000    |  1.3560 |
| epoch 38 |   1.5762   |   0.2190   |     1.0000    |  1.3572 |
| epoch 39 |   1.5708   |   0.2130   |     1.0000    |  1.3578 |
| epoch 40 |   1.5657   |   0.2116   |     1.0000    |  1.3541 |
| epoch 41 |   1.5561   |   0.2056   |     1.0000    |  1.3506 |
| epoch 42 |   1.5606   |   0.2083   |     1.0000    |  1.3524 |
| epoch 43 |   1.5499   |   0.2009   |     1.0000    |  1.3490 |
| epoch 44 |   1.5619   |   0.2091   |     1.0000    |  1.3528 |
| epoch 45 |   1.5550   |   0.2061   |     1.0000    |  1.3488 |
| epoch 46 |   1.5517   |   0.2007   |     1.0000    |  1.3510 |
| epoch 47 |   1.5421   |   0.2005   |     1.0000    |  1.3416 |
| epoch 48 |   1.5449   |   0.1965   |     1.0000    |  1.3484 |
| epoch 49 |   1.5523   |   0.2007   |     1.0000    |  1.3516 |
| epoch 50 |   1.5414   |   0.1932   |     1.0000    |  1.3482 |
+----------+------------+------------+---------------+---------+
