+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.9582   |
| epoch 2  |   2.8353   |
| epoch 3  |   2.7987   |
| epoch 4  |   2.7772   |
| epoch 5  |   2.7575   |
| epoch 6  |   2.7413   |
| epoch 7  |   2.7240   |
| epoch 8  |   2.7090   |
| epoch 9  |   2.6946   |
| epoch 10 |   2.6782   |
| epoch 11 |   2.6704   |
| epoch 12 |   2.6620   |
| epoch 13 |   2.6447   |
| epoch 14 |   2.6402   |
| epoch 15 |   2.6286   |
| epoch 16 |   2.6228   |
| epoch 17 |   2.6133   |
| epoch 18 |   2.6085   |
| epoch 19 |   2.6067   |
| epoch 20 |   2.5970   |
| epoch 21 |   2.5920   |
| epoch 22 |   2.5855   |
| epoch 23 |   2.5799   |
| epoch 24 |   2.5763   |
| epoch 25 |   2.5723   |
| epoch 26 |   2.5711   |
| epoch 27 |   2.5661   |
| epoch 28 |   2.5593   |
| epoch 29 |   2.5570   |
| epoch 30 |   2.5544   |
| epoch 31 |   2.5428   |
| epoch 32 |   2.5516   |
| epoch 33 |   2.5416   |
| epoch 34 |   2.5382   |
| epoch 35 |   2.5381   |
| epoch 36 |   2.5352   |
| epoch 37 |   2.5351   |
| epoch 38 |   2.5283   |
| epoch 39 |   2.5284   |
| epoch 40 |   2.5225   |
| epoch 41 |   2.5230   |
| epoch 42 |   2.5173   |
| epoch 43 |   2.5189   |
| epoch 44 |   2.5191   |
| epoch 45 |   2.5119   |
| epoch 46 |   2.5121   |
| epoch 47 |   2.5078   |
| epoch 48 |   2.5061   |
| epoch 49 |   2.5056   |
| epoch 50 |   2.5045   |
+----------+------------+
