+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   2.9396   |   2.9396   |     0.0000    |  0.0000 |
| epoch 2  |   2.6464   |   2.6464   |     0.0000    |  0.0000 |
| epoch 3  |   2.4130   |   2.4130   |     0.0000    |  0.0000 |
| epoch 4  |   2.2446   |   2.2446   |     0.0000    |  0.0000 |
| epoch 5  |   2.1126   |   2.1126   |     0.0000    |  0.0000 |
| epoch 6  |   1.9905   |   1.9905   |     0.0000    |  0.0000 |
| epoch 7  |   1.8715   |   1.8715   |     0.0000    |  0.0000 |
| epoch 8  |   1.7726   |   1.7726   |     0.0000    |  0.0000 |
| epoch 9  |   1.6768   |   1.6768   |     0.0000    |  0.0000 |
| epoch 10 |   2.9897   |   1.5960   |     1.0000    |  1.3937 |
| epoch 11 |   2.9040   |   1.5175   |     1.0000    |  1.3865 |
| epoch 12 |   2.8285   |   1.4433   |     1.0000    |  1.3852 |
| epoch 13 |   2.7539   |   1.3730   |     1.0000    |  1.3809 |
| epoch 14 |   2.6849   |   1.3051   |     1.0000    |  1.3797 |
| epoch 15 |   2.6133   |   1.2363   |     1.0000    |  1.3770 |
| epoch 16 |   2.5611   |   1.1851   |     1.0000    |  1.3759 |
| epoch 17 |   2.5026   |   1.1274   |     1.0000    |  1.3752 |
| epoch 18 |   2.4385   |   1.0651   |     1.0000    |  1.3734 |
| epoch 19 |   2.4050   |   1.0330   |     1.0000    |  1.3720 |
| epoch 20 |   2.3487   |   0.9802   |     1.0000    |  1.3685 |
| epoch 21 |   2.3039   |   0.9379   |     1.0000    |  1.3661 |
| epoch 22 |   2.2565   |   0.8923   |     1.0000    |  1.3642 |
| epoch 23 |   2.2337   |   0.8681   |     1.0000    |  1.3656 |
| epoch 24 |   2.1916   |   0.8282   |     1.0000    |  1.3634 |
| epoch 25 |   2.1471   |   0.7923   |     1.0000    |  1.3549 |
| epoch 26 |   2.1144   |   0.7592   |     1.0000    |  1.3552 |
| epoch 27 |   2.0852   |   0.7323   |     1.0000    |  1.3530 |
| epoch 28 |   2.0472   |   0.6987   |     1.0000    |  1.3486 |
| epoch 29 |   2.0244   |   0.6780   |     1.0000    |  1.3465 |
| epoch 30 |   2.0073   |   0.6588   |     1.0000    |  1.3485 |
| epoch 31 |   1.9694   |   0.6315   |     1.0000    |  1.3379 |
| epoch 32 |   1.9504   |   0.6096   |     1.0000    |  1.3408 |
| epoch 33 |   1.9337   |   0.5960   |     1.0000    |  1.3377 |
| epoch 34 |   1.9002   |   0.5632   |     1.0000    |  1.3370 |
| epoch 35 |   1.8851   |   0.5413   |     1.0000    |  1.3438 |
| epoch 36 |   1.8517   |   0.5221   |     1.0000    |  1.3296 |
| epoch 37 |   1.8362   |   0.5156   |     1.0000    |  1.3206 |
| epoch 38 |   1.8256   |   0.5050   |     1.0000    |  1.3206 |
| epoch 39 |   1.8094   |   0.4855   |     1.0000    |  1.3239 |
| epoch 40 |   1.7752   |   0.4641   |     1.0000    |  1.3110 |
| epoch 41 |   1.7673   |   0.4517   |     1.0000    |  1.3156 |
| epoch 42 |   1.7334   |   0.4354   |     1.0000    |  1.2979 |
| epoch 43 |   1.7345   |   0.4347   |     1.0000    |  1.2999 |
| epoch 44 |   1.7212   |   0.4277   |     1.0000    |  1.2935 |
| epoch 45 |   1.7082   |   0.4138   |     1.0000    |  1.2944 |
| epoch 46 |   1.6866   |   0.3978   |     1.0000    |  1.2888 |
| epoch 47 |   1.7051   |   0.3889   |     1.0000    |  1.3163 |
| epoch 48 |   1.6727   |   0.3781   |     1.0000    |  1.2946 |
| epoch 49 |   1.6571   |   0.3725   |     1.0000    |  1.2846 |
| epoch 50 |   1.6341   |   0.3639   |     1.0000    |  1.2703 |
+----------+------------+------------+---------------+---------+
