+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.0266   |   3.0266   |     0.0000    |  0.0000 |
| epoch 2  |   2.7715   |   2.7715   |     0.0000    |  0.0000 |
| epoch 3  |   2.5073   |   2.5073   |     0.0000    |  0.0000 |
| epoch 4  |   2.3197   |   2.3197   |     0.0000    |  0.0000 |
| epoch 5  |   2.1885   |   2.1885   |     0.0000    |  0.0000 |
| epoch 6  |   2.0570   |   2.0570   |     0.0000    |  0.0000 |
| epoch 7  |   1.9589   |   1.9589   |     0.0000    |  0.0000 |
| epoch 8  |   1.8596   |   1.8596   |     0.0000    |  0.0000 |
| epoch 9  |   1.7670   |   1.7670   |     0.0000    |  0.0000 |
| epoch 10 |   3.0951   |   1.6888   |     1.0000    |  1.4063 |
| epoch 11 |   3.0124   |   1.6200   |     1.0000    |  1.3924 |
| epoch 12 |   2.9308   |   1.5424   |     1.0000    |  1.3884 |
| epoch 13 |   2.8744   |   1.4877   |     1.0000    |  1.3867 |
| epoch 14 |   2.8063   |   1.4207   |     1.0000    |  1.3857 |
| epoch 15 |   2.7459   |   1.3613   |     1.0000    |  1.3846 |
| epoch 16 |   2.6950   |   1.3110   |     1.0000    |  1.3840 |
| epoch 17 |   2.6281   |   1.2462   |     1.0000    |  1.3819 |
| epoch 18 |   2.5776   |   1.1962   |     1.0000    |  1.3814 |
| epoch 19 |   2.5380   |   1.1555   |     1.0000    |  1.3825 |
| epoch 20 |   2.4982   |   1.1180   |     1.0000    |  1.3802 |
| epoch 21 |   2.4530   |   1.0723   |     1.0000    |  1.3807 |
| epoch 22 |   2.4080   |   1.0283   |     1.0000    |  1.3797 |
| epoch 23 |   2.3592   |   0.9814   |     1.0000    |  1.3778 |
| epoch 24 |   2.3282   |   0.9510   |     1.0000    |  1.3772 |
| epoch 25 |   2.3003   |   0.9255   |     1.0000    |  1.3748 |
| epoch 26 |   2.2624   |   0.8885   |     1.0000    |  1.3739 |
| epoch 27 |   2.2231   |   0.8474   |     1.0000    |  1.3757 |
| epoch 28 |   2.2026   |   0.8271   |     1.0000    |  1.3755 |
| epoch 29 |   2.1719   |   0.7980   |     1.0000    |  1.3739 |
| epoch 30 |   2.1354   |   0.7594   |     1.0000    |  1.3760 |
| epoch 31 |   2.1185   |   0.7442   |     1.0000    |  1.3742 |
| epoch 32 |   2.0762   |   0.7047   |     1.0000    |  1.3715 |
| epoch 33 |   2.0801   |   0.7071   |     1.0000    |  1.3730 |
| epoch 34 |   2.0373   |   0.6693   |     1.0000    |  1.3680 |
| epoch 35 |   2.0093   |   0.6452   |     1.0000    |  1.3641 |
| epoch 36 |   1.9940   |   0.6272   |     1.0000    |  1.3668 |
| epoch 37 |   1.9873   |   0.6201   |     1.0000    |  1.3672 |
| epoch 38 |   1.9573   |   0.5933   |     1.0000    |  1.3640 |
| epoch 39 |   1.9417   |   0.5832   |     1.0000    |  1.3585 |
| epoch 40 |   1.9135   |   0.5535   |     1.0000    |  1.3600 |
| epoch 41 |   1.8998   |   0.5443   |     1.0000    |  1.3555 |
| epoch 42 |   1.8835   |   0.5282   |     1.0000    |  1.3554 |
| epoch 43 |   1.8542   |   0.5070   |     1.0000    |  1.3472 |
| epoch 44 |   1.8480   |   0.5017   |     1.0000    |  1.3463 |
| epoch 45 |   1.8274   |   0.4845   |     1.0000    |  1.3429 |
| epoch 46 |   1.8100   |   0.4718   |     1.0000    |  1.3382 |
| epoch 47 |   1.7957   |   0.4591   |     1.0000    |  1.3366 |
| epoch 48 |   1.7679   |   0.4379   |     1.0000    |  1.3299 |
| epoch 49 |   1.7669   |   0.4396   |     1.0000    |  1.3273 |
| epoch 50 |   1.7660   |   0.4373   |     1.0000    |  1.3286 |
+----------+------------+------------+---------------+---------+
