+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.6190   |   3.6190   |     0.0000    |  0.0000 |
| epoch 2  |   3.3188   |   3.3188   |     0.0000    |  0.0000 |
| epoch 3  |   3.1170   |   3.1170   |     0.0000    |  0.0000 |
| epoch 4  |   2.9533   |   2.9533   |     0.0000    |  0.0000 |
| epoch 5  |   2.8089   |   2.8089   |     0.0000    |  0.0000 |
| epoch 6  |   2.6850   |   2.6850   |     0.0000    |  0.0000 |
| epoch 7  |   2.5510   |   2.5510   |     0.0000    |  0.0000 |
| epoch 8  |   2.4345   |   2.4345   |     0.0000    |  0.0000 |
| epoch 9  |   2.3119   |   2.3119   |     0.0000    |  0.0000 |
| epoch 10 |   3.6145   |   2.2158   |     1.0000    |  1.3987 |
| epoch 11 |   3.5050   |   2.1144   |     1.0000    |  1.3906 |
| epoch 12 |   3.3979   |   2.0115   |     1.0000    |  1.3864 |
| epoch 13 |   3.3147   |   1.9304   |     1.0000    |  1.3843 |
| epoch 14 |   3.2286   |   1.8452   |     1.0000    |  1.3834 |
| epoch 15 |   3.1480   |   1.7663   |     1.0000    |  1.3817 |
| epoch 16 |   3.0755   |   1.6927   |     1.0000    |  1.3829 |
| epoch 17 |   2.9885   |   1.6079   |     1.0000    |  1.3806 |
| epoch 18 |   2.9345   |   1.5545   |     1.0000    |  1.3800 |
| epoch 19 |   2.8645   |   1.4853   |     1.0000    |  1.3792 |
| epoch 20 |   2.7960   |   1.4184   |     1.0000    |  1.3776 |
| epoch 21 |   2.7390   |   1.3655   |     1.0000    |  1.3736 |
| epoch 22 |   2.6778   |   1.3067   |     1.0000    |  1.3712 |
| epoch 23 |   2.6216   |   1.2486   |     1.0000    |  1.3730 |
| epoch 24 |   2.5751   |   1.2042   |     1.0000    |  1.3709 |
| epoch 25 |   2.5230   |   1.1524   |     1.0000    |  1.3706 |
| epoch 26 |   2.4843   |   1.1125   |     1.0000    |  1.3718 |
| epoch 27 |   2.4234   |   1.0573   |     1.0000    |  1.3662 |
| epoch 28 |   2.3815   |   1.0126   |     1.0000    |  1.3689 |
| epoch 29 |   2.3531   |   0.9874   |     1.0000    |  1.3656 |
| epoch 30 |   2.3151   |   0.9503   |     1.0000    |  1.3649 |
| epoch 31 |   2.2753   |   0.9164   |     1.0000    |  1.3589 |
| epoch 32 |   2.2408   |   0.8819   |     1.0000    |  1.3589 |
| epoch 33 |   2.1980   |   0.8437   |     1.0000    |  1.3542 |
| epoch 34 |   2.1706   |   0.8195   |     1.0000    |  1.3511 |
| epoch 35 |   2.1499   |   0.7970   |     1.0000    |  1.3529 |
| epoch 36 |   2.0994   |   0.7541   |     1.0000    |  1.3452 |
| epoch 37 |   2.0798   |   0.7364   |     1.0000    |  1.3434 |
| epoch 38 |   2.0458   |   0.7053   |     1.0000    |  1.3405 |
| epoch 39 |   2.0109   |   0.6786   |     1.0000    |  1.3322 |
| epoch 40 |   1.9826   |   0.6600   |     1.0000    |  1.3227 |
| epoch 41 |   1.9641   |   0.6396   |     1.0000    |  1.3245 |
| epoch 42 |   1.9400   |   0.6133   |     1.0000    |  1.3266 |
| epoch 43 |   1.9138   |   0.5898   |     1.0000    |  1.3240 |
| epoch 44 |   1.8897   |   0.5721   |     1.0000    |  1.3176 |
| epoch 45 |   1.8577   |   0.5509   |     1.0000    |  1.3067 |
| epoch 46 |   1.8332   |   0.5342   |     1.0000    |  1.2990 |
| epoch 47 |   1.8241   |   0.5268   |     1.0000    |  1.2973 |
| epoch 48 |   1.8026   |   0.5136   |     1.0000    |  1.2891 |
| epoch 49 |   1.7676   |   0.4885   |     1.0000    |  1.2791 |
| epoch 50 |   1.7432   |   0.4713   |     1.0000    |  1.2720 |
+----------+------------+------------+---------------+---------+
