+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.1570   |   3.1570   |     0.0000    |  0.0000 |
| epoch 2  |   2.9242   |   2.9242   |     0.0000    |  0.0000 |
| epoch 3  |   2.7209   |   2.7209   |     0.0000    |  0.0000 |
| epoch 4  |   2.5190   |   2.5190   |     0.0000    |  0.0000 |
| epoch 5  |   2.3429   |   2.3429   |     0.0000    |  0.0000 |
| epoch 6  |   2.1981   |   2.1981   |     0.0000    |  0.0000 |
| epoch 7  |   2.0792   |   2.0792   |     0.0000    |  0.0000 |
| epoch 8  |   1.9766   |   1.9766   |     0.0000    |  0.0000 |
| epoch 9  |   1.8779   |   1.8779   |     0.0000    |  0.0000 |
| epoch 10 |   3.1815   |   1.7848   |     1.0000    |  1.3967 |
| epoch 11 |   3.1002   |   1.7130   |     1.0000    |  1.3872 |
| epoch 12 |   3.0238   |   1.6389   |     1.0000    |  1.3848 |
| epoch 13 |   2.9432   |   1.5625   |     1.0000    |  1.3808 |
| epoch 14 |   2.8723   |   1.4911   |     1.0000    |  1.3812 |
| epoch 15 |   2.8017   |   1.4223   |     1.0000    |  1.3794 |
| epoch 16 |   2.7566   |   1.3791   |     1.0000    |  1.3775 |
| epoch 17 |   2.6892   |   1.3115   |     1.0000    |  1.3776 |
| epoch 18 |   2.6322   |   1.2549   |     1.0000    |  1.3774 |
| epoch 19 |   2.5889   |   1.2114   |     1.0000    |  1.3775 |
| epoch 20 |   2.5399   |   1.1653   |     1.0000    |  1.3747 |
| epoch 21 |   2.4864   |   1.1137   |     1.0000    |  1.3727 |
| epoch 22 |   2.4418   |   1.0722   |     1.0000    |  1.3696 |
| epoch 23 |   2.4082   |   1.0378   |     1.0000    |  1.3704 |
| epoch 24 |   2.3680   |   0.9992   |     1.0000    |  1.3688 |
| epoch 25 |   2.3215   |   0.9555   |     1.0000    |  1.3660 |
| epoch 26 |   2.2912   |   0.9242   |     1.0000    |  1.3670 |
| epoch 27 |   2.2609   |   0.8934   |     1.0000    |  1.3675 |
| epoch 28 |   2.2325   |   0.8684   |     1.0000    |  1.3641 |
| epoch 29 |   2.1895   |   0.8342   |     1.0000    |  1.3553 |
| epoch 30 |   2.1602   |   0.8007   |     1.0000    |  1.3594 |
| epoch 31 |   2.1235   |   0.7746   |     1.0000    |  1.3488 |
| epoch 32 |   2.0991   |   0.7512   |     1.0000    |  1.3479 |
| epoch 33 |   2.0767   |   0.7346   |     1.0000    |  1.3421 |
| epoch 34 |   2.0535   |   0.7139   |     1.0000    |  1.3396 |
| epoch 35 |   2.0219   |   0.6870   |     1.0000    |  1.3349 |
| epoch 36 |   1.9902   |   0.6662   |     1.0000    |  1.3240 |
| epoch 37 |   1.9799   |   0.6584   |     1.0000    |  1.3215 |
| epoch 38 |   1.9545   |   0.6245   |     1.0000    |  1.3300 |
| epoch 39 |   1.9265   |   0.6117   |     1.0000    |  1.3148 |
| epoch 40 |   1.9081   |   0.6038   |     1.0000    |  1.3043 |
| epoch 41 |   1.8677   |   0.5825   |     1.0000    |  1.2852 |
| epoch 42 |   1.8577   |   0.5695   |     1.0000    |  1.2882 |
| epoch 43 |   1.8565   |   0.5693   |     1.0000    |  1.2872 |
| epoch 44 |   1.8485   |   0.5616   |     1.0000    |  1.2869 |
| epoch 45 |   1.8249   |   0.5410   |     1.0000    |  1.2839 |
| epoch 46 |   1.8312   |   0.5318   |     1.0000    |  1.2994 |
| epoch 47 |   1.8135   |   0.5193   |     1.0000    |  1.2942 |
| epoch 48 |   1.7818   |   0.5148   |     1.0000    |  1.2670 |
| epoch 49 |   1.7909   |   0.5079   |     1.0000    |  1.2831 |
| epoch 50 |   1.7727   |   0.4929   |     1.0000    |  1.2797 |
+----------+------------+------------+---------------+---------+
