+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   2.2597   |   2.2597   |     0.0000    |  0.0000 |
| epoch 2  |   2.1892   |   2.1892   |     0.0000    |  0.0000 |
| epoch 3  |   2.1264   |   2.1264   |     0.0000    |  0.0000 |
| epoch 4  |   2.0752   |   2.0752   |     0.0000    |  0.0000 |
| epoch 5  |   2.0290   |   2.0290   |     0.0000    |  0.0000 |
| epoch 6  |   1.9750   |   1.9750   |     0.0000    |  0.0000 |
| epoch 7  |   1.9280   |   1.9280   |     0.0000    |  0.0000 |
| epoch 8  |   1.8745   |   1.8745   |     0.0000    |  0.0000 |
| epoch 9  |   1.8339   |   1.8339   |     0.0000    |  0.0000 |
| epoch 10 |   3.1945   |   1.7952   |     1.0000    |  1.3993 |
| epoch 11 |   3.1445   |   1.7541   |     1.0000    |  1.3904 |
| epoch 12 |   3.1122   |   1.7256   |     1.0000    |  1.3867 |
| epoch 13 |   3.0776   |   1.6925   |     1.0000    |  1.3850 |
| epoch 14 |   3.0497   |   1.6652   |     1.0000    |  1.3844 |
| epoch 15 |   3.0259   |   1.6439   |     1.0000    |  1.3820 |
| epoch 16 |   2.9970   |   1.6144   |     1.0000    |  1.3825 |
| epoch 17 |   2.9739   |   1.5922   |     1.0000    |  1.3818 |
| epoch 18 |   2.9463   |   1.5656   |     1.0000    |  1.3808 |
| epoch 19 |   2.9270   |   1.5461   |     1.0000    |  1.3809 |
| epoch 20 |   2.9022   |   1.5231   |     1.0000    |  1.3792 |
| epoch 21 |   2.8853   |   1.5063   |     1.0000    |  1.3790 |
| epoch 22 |   2.8626   |   1.4850   |     1.0000    |  1.3777 |
| epoch 23 |   2.8398   |   1.4627   |     1.0000    |  1.3771 |
| epoch 24 |   2.8251   |   1.4486   |     1.0000    |  1.3765 |
| epoch 25 |   2.8088   |   1.4310   |     1.0000    |  1.3778 |
| epoch 26 |   2.7858   |   1.4097   |     1.0000    |  1.3761 |
| epoch 27 |   2.7658   |   1.3917   |     1.0000    |  1.3740 |
| epoch 28 |   2.7481   |   1.3731   |     1.0000    |  1.3751 |
| epoch 29 |   2.7292   |   1.3550   |     1.0000    |  1.3742 |
| epoch 30 |   2.7205   |   1.3456   |     1.0000    |  1.3749 |
| epoch 31 |   2.7020   |   1.3284   |     1.0000    |  1.3736 |
| epoch 32 |   2.6873   |   1.3135   |     1.0000    |  1.3737 |
| epoch 33 |   2.6746   |   1.3007   |     1.0000    |  1.3739 |
| epoch 34 |   2.6589   |   1.2872   |     1.0000    |  1.3716 |
| epoch 35 |   2.6414   |   1.2704   |     1.0000    |  1.3710 |
| epoch 36 |   2.6250   |   1.2546   |     1.0000    |  1.3703 |
| epoch 37 |   2.6134   |   1.2434   |     1.0000    |  1.3700 |
| epoch 38 |   2.5984   |   1.2299   |     1.0000    |  1.3684 |
| epoch 39 |   2.5833   |   1.2148   |     1.0000    |  1.3685 |
| epoch 40 |   2.5703   |   1.2005   |     1.0000    |  1.3698 |
| epoch 41 |   2.5608   |   1.1923   |     1.0000    |  1.3685 |
| epoch 42 |   2.5487   |   1.1805   |     1.0000    |  1.3681 |
| epoch 43 |   2.5382   |   1.1688   |     1.0000    |  1.3694 |
| epoch 44 |   2.5192   |   1.1524   |     1.0000    |  1.3668 |
| epoch 45 |   2.5086   |   1.1410   |     1.0000    |  1.3676 |
| epoch 46 |   2.4998   |   1.1322   |     1.0000    |  1.3676 |
| epoch 47 |   2.4877   |   1.1200   |     1.0000    |  1.3677 |
| epoch 48 |   2.4799   |   1.1111   |     1.0000    |  1.3688 |
| epoch 49 |   2.4657   |   1.0988   |     1.0000    |  1.3669 |
| epoch 50 |   2.4544   |   1.0893   |     1.0000    |  1.3651 |
+----------+------------+------------+---------------+---------+
