+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   2.9524   |   2.9524   |     0.0000    |  0.0000 |
| epoch 2  |   2.6501   |   2.6501   |     0.0000    |  0.0000 |
| epoch 3  |   2.4244   |   2.4244   |     0.0000    |  0.0000 |
| epoch 4  |   2.2544   |   2.2544   |     0.0000    |  0.0000 |
| epoch 5  |   2.1138   |   2.1138   |     0.0000    |  0.0000 |
| epoch 6  |   1.9868   |   1.9868   |     0.0000    |  0.0000 |
| epoch 7  |   1.8716   |   1.8716   |     0.0000    |  0.0000 |
| epoch 8  |   1.7702   |   1.7702   |     0.0000    |  0.0000 |
| epoch 9  |   1.6771   |   1.6771   |     0.0000    |  0.0000 |
| epoch 10 |   2.9777   |   1.5991   |     1.0000    |  1.3787 |
| epoch 11 |   2.9264   |   1.5387   |     1.0000    |  1.3877 |
| epoch 12 |   2.8321   |   1.4517   |     1.0000    |  1.3804 |
| epoch 13 |   2.7462   |   1.3696   |     1.0000    |  1.3767 |
| epoch 14 |   2.6806   |   1.3055   |     1.0000    |  1.3751 |
| epoch 15 |   2.6221   |   1.2456   |     1.0000    |  1.3765 |
| epoch 16 |   2.5591   |   1.1860   |     1.0000    |  1.3731 |
| epoch 17 |   2.4987   |   1.1231   |     1.0000    |  1.3756 |
| epoch 18 |   2.4517   |   1.0793   |     1.0000    |  1.3724 |
| epoch 19 |   2.3951   |   1.0221   |     1.0000    |  1.3730 |
| epoch 20 |   2.3516   |   0.9790   |     1.0000    |  1.3726 |
| epoch 21 |   2.3186   |   0.9443   |     1.0000    |  1.3744 |
| epoch 22 |   2.2665   |   0.8923   |     1.0000    |  1.3742 |
| epoch 23 |   2.2265   |   0.8537   |     1.0000    |  1.3728 |
| epoch 24 |   2.1927   |   0.8216   |     1.0000    |  1.3712 |
| epoch 25 |   2.1561   |   0.7900   |     1.0000    |  1.3662 |
| epoch 26 |   2.1318   |   0.7634   |     1.0000    |  1.3684 |
| epoch 27 |   2.0877   |   0.7218   |     1.0000    |  1.3658 |
| epoch 28 |   2.0555   |   0.6953   |     1.0000    |  1.3602 |
| epoch 29 |   2.0346   |   0.6740   |     1.0000    |  1.3607 |
| epoch 30 |   2.0048   |   0.6471   |     1.0000    |  1.3577 |
| epoch 31 |   1.9743   |   0.6189   |     1.0000    |  1.3553 |
| epoch 32 |   1.9550   |   0.6021   |     1.0000    |  1.3529 |
| epoch 33 |   1.9272   |   0.5763   |     1.0000    |  1.3509 |
| epoch 34 |   1.9062   |   0.5626   |     1.0000    |  1.3436 |
| epoch 35 |   1.8788   |   0.5408   |     1.0000    |  1.3379 |
| epoch 36 |   1.8691   |   0.5217   |     1.0000    |  1.3474 |
| epoch 37 |   1.8415   |   0.5052   |     1.0000    |  1.3363 |
| epoch 38 |   1.8053   |   0.4856   |     1.0000    |  1.3197 |
| epoch 39 |   1.8133   |   0.4875   |     1.0000    |  1.3258 |
| epoch 40 |   1.7766   |   0.4585   |     1.0000    |  1.3181 |
| epoch 41 |   1.7779   |   0.4448   |     1.0000    |  1.3331 |
| epoch 42 |   1.7462   |   0.4336   |     1.0000    |  1.3126 |
| epoch 43 |   1.7130   |   0.4175   |     1.0000    |  1.2955 |
| epoch 44 |   1.7160   |   0.4158   |     1.0000    |  1.3003 |
| epoch 45 |   1.7133   |   0.4100   |     1.0000    |  1.3034 |
| epoch 46 |   1.6935   |   0.3929   |     1.0000    |  1.3006 |
| epoch 47 |   1.6747   |   0.3860   |     1.0000    |  1.2887 |
| epoch 48 |   1.6682   |   0.3757   |     1.0000    |  1.2925 |
| epoch 49 |   1.6597   |   0.3726   |     1.0000    |  1.2871 |
| epoch 50 |   1.6768   |   0.3714   |     1.0000    |  1.3054 |
+----------+------------+------------+---------------+---------+
