+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   2.3461   |   2.3461   |     0.0000    |  0.0000 |
| epoch 2  |   1.7447   |   1.7447   |     0.0000    |  0.0000 |
| epoch 3  |   1.4420   |   1.4420   |     0.0000    |  0.0000 |
| epoch 4  |   1.2053   |   1.2053   |     0.0000    |  0.0000 |
| epoch 5  |   1.0172   |   1.0172   |     0.0000    |  0.0000 |
| epoch 6  |   0.8709   |   0.8709   |     0.0000    |  0.0000 |
| epoch 7  |   0.7569   |   0.7569   |     0.0000    |  0.0000 |
| epoch 8  |   0.6702   |   0.6702   |     0.0000    |  0.0000 |
| epoch 9  |   0.6027   |   0.6027   |     0.0000    |  0.0000 |
| epoch 10 |   1.9557   |   0.5630   |     1.0000    |  1.3927 |
| epoch 11 |   1.9018   |   0.5159   |     1.0000    |  1.3858 |
| epoch 12 |   1.8651   |   0.4801   |     1.0000    |  1.3850 |
| epoch 13 |   1.8323   |   0.4470   |     1.0000    |  1.3854 |
| epoch 14 |   1.8057   |   0.4210   |     1.0000    |  1.3848 |
| epoch 15 |   1.7789   |   0.3984   |     1.0000    |  1.3805 |
| epoch 16 |   1.7582   |   0.3817   |     1.0000    |  1.3765 |
| epoch 17 |   1.7293   |   0.3629   |     1.0000    |  1.3664 |
| epoch 18 |   1.7080   |   0.3551   |     1.0000    |  1.3529 |
| epoch 19 |   1.7054   |   0.3427   |     1.0000    |  1.3628 |
| epoch 20 |   1.6954   |   0.3362   |     1.0000    |  1.3592 |
| epoch 21 |   1.6749   |   0.3415   |     1.0000    |  1.3334 |
| epoch 22 |   1.6943   |   0.3301   |     1.0000    |  1.3643 |
| epoch 23 |   1.6863   |   0.3313   |     1.0000    |  1.3551 |
| epoch 24 |   1.6914   |   0.3281   |     1.0000    |  1.3633 |
| epoch 25 |   1.6779   |   0.3166   |     1.0000    |  1.3612 |
| epoch 26 |   1.6719   |   0.3157   |     1.0000    |  1.3562 |
| epoch 27 |   1.6791   |   0.3200   |     1.0000    |  1.3591 |
| epoch 28 |   1.6729   |   0.3186   |     1.0000    |  1.3543 |
| epoch 29 |   1.6798   |   0.3092   |     1.0000    |  1.3706 |
| epoch 30 |   1.6640   |   0.2987   |     1.0000    |  1.3653 |
| epoch 31 |   1.6373   |   0.2992   |     1.0000    |  1.3381 |
| epoch 32 |   1.6404   |   0.3085   |     1.0000    |  1.3319 |
| epoch 33 |   1.6444   |   0.3233   |     1.0000    |  1.3211 |
| epoch 34 |   1.6341   |   0.3472   |     1.0000    |  1.2869 |
| epoch 35 |   1.6075   |   0.3631   |     1.0000    |  1.2444 |
| epoch 36 |   1.6567   |   0.3649   |     1.0000    |  1.2918 |
| epoch 37 |   1.6773   |   0.3616   |     1.0000    |  1.3157 |
| epoch 38 |   1.7205   |   0.3559   |     1.0000    |  1.3646 |
| epoch 39 |   1.7314   |   0.3467   |     1.0000    |  1.3847 |
| epoch 40 |   1.7079   |   0.3428   |     1.0000    |  1.3651 |
| epoch 41 |   1.7008   |   0.3284   |     1.0000    |  1.3724 |
| epoch 42 |   1.7155   |   0.3195   |     1.0000    |  1.3959 |
| epoch 43 |   1.6641   |   0.3081   |     1.0000    |  1.3561 |
| epoch 44 |   1.6786   |   0.3116   |     1.0000    |  1.3669 |
| epoch 45 |   1.6584   |   0.3062   |     1.0000    |  1.3521 |
| epoch 46 |   1.6699   |   0.3071   |     1.0000    |  1.3628 |
| epoch 47 |   1.6761   |   0.2926   |     1.0000    |  1.3836 |
| epoch 48 |   1.6468   |   0.2802   |     1.0000    |  1.3666 |
| epoch 49 |   1.6533   |   0.2814   |     1.0000    |  1.3719 |
| epoch 50 |   1.6226   |   0.2956   |     1.0000    |  1.3270 |
+----------+------------+------------+---------------+---------+
