+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   4.1395   |   4.1395   |     0.0000    |  0.0000 |
| epoch 2  |   3.5648   |   3.5648   |     0.0000    |  0.0000 |
| epoch 3  |   3.1777   |   3.1777   |     0.0000    |  0.0000 |
| epoch 4  |   2.9198   |   2.9198   |     0.0000    |  0.0000 |
| epoch 5  |   2.7153   |   2.7153   |     0.0000    |  0.0000 |
| epoch 6  |   2.5328   |   2.5328   |     0.0000    |  0.0000 |
| epoch 7  |   2.3633   |   2.3633   |     0.0000    |  0.0000 |
| epoch 8  |   2.2111   |   2.2111   |     0.0000    |  0.0000 |
| epoch 9  |   2.0638   |   2.0638   |     0.0000    |  0.0000 |
| epoch 10 |   3.3564   |   1.9540   |     1.0000    |  1.4024 |
| epoch 11 |   3.2296   |   1.8417   |     1.0000    |  1.3879 |
| epoch 12 |   3.1144   |   1.7267   |     1.0000    |  1.3877 |
| epoch 13 |   3.0024   |   1.6215   |     1.0000    |  1.3810 |
| epoch 14 |   2.8983   |   1.5215   |     1.0000    |  1.3768 |
| epoch 15 |   2.8136   |   1.4317   |     1.0000    |  1.3819 |
| epoch 16 |   2.7209   |   1.3396   |     1.0000    |  1.3813 |
| epoch 17 |   2.6465   |   1.2624   |     1.0000    |  1.3841 |
| epoch 18 |   2.5728   |   1.1887   |     1.0000    |  1.3840 |
| epoch 19 |   2.4916   |   1.1134   |     1.0000    |  1.3782 |
| epoch 20 |   2.4249   |   1.0424   |     1.0000    |  1.3826 |
| epoch 21 |   2.3721   |   0.9894   |     1.0000    |  1.3827 |
| epoch 22 |   2.3084   |   0.9304   |     1.0000    |  1.3780 |
| epoch 23 |   2.2495   |   0.8701   |     1.0000    |  1.3794 |
| epoch 24 |   2.1930   |   0.8168   |     1.0000    |  1.3762 |
| epoch 25 |   2.1501   |   0.7662   |     1.0000    |  1.3838 |
| epoch 26 |   2.1016   |   0.7230   |     1.0000    |  1.3787 |
| epoch 27 |   2.0542   |   0.6728   |     1.0000    |  1.3814 |
| epoch 28 |   2.0070   |   0.6321   |     1.0000    |  1.3749 |
| epoch 29 |   1.9589   |   0.5831   |     1.0000    |  1.3758 |
| epoch 30 |   1.9296   |   0.5527   |     1.0000    |  1.3768 |
| epoch 31 |   1.9017   |   0.5276   |     1.0000    |  1.3742 |
| epoch 32 |   1.8464   |   0.4806   |     1.0000    |  1.3657 |
| epoch 33 |   1.8093   |   0.4540   |     1.0000    |  1.3553 |
| epoch 34 |   1.7845   |   0.4322   |     1.0000    |  1.3522 |
| epoch 35 |   1.7297   |   0.4029   |     1.0000    |  1.3268 |
| epoch 36 |   1.7159   |   0.3866   |     1.0000    |  1.3293 |
| epoch 37 |   1.6708   |   0.3667   |     1.0000    |  1.3041 |
| epoch 38 |   1.6381   |   0.3415   |     1.0000    |  1.2967 |
| epoch 39 |   1.6103   |   0.3284   |     1.0000    |  1.2820 |
| epoch 40 |   1.5918   |   0.3162   |     1.0000    |  1.2757 |
| epoch 41 |   1.5494   |   0.3095   |     1.0000    |  1.2399 |
| epoch 42 |   1.5449   |   0.3022   |     1.0000    |  1.2428 |
| epoch 43 |   1.5583   |   0.2921   |     1.0000    |  1.2662 |
| epoch 44 |   1.5441   |   0.2806   |     1.0000    |  1.2635 |
| epoch 45 |   1.4980   |   0.2758   |     1.0000    |  1.2222 |
| epoch 46 |   1.5021   |   0.2670   |     1.0000    |  1.2351 |
| epoch 47 |   1.4362   |   0.2715   |     1.0000    |  1.1647 |
| epoch 48 |   1.4621   |   0.2730   |     1.0000    |  1.1891 |
| epoch 49 |   1.4539   |   0.2595   |     1.0000    |  1.1943 |
| epoch 50 |   1.4802   |   0.2612   |     1.0000    |  1.2191 |
+----------+------------+------------+---------------+---------+
