+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   2.9395   |   2.9395   |     0.0000    |  0.0000 |
| epoch 2  |   2.6508   |   2.6508   |     0.0000    |  0.0000 |
| epoch 3  |   2.4151   |   2.4151   |     0.0000    |  0.0000 |
| epoch 4  |   2.2575   |   2.2575   |     0.0000    |  0.0000 |
| epoch 5  |   2.1080   |   2.1080   |     0.0000    |  0.0000 |
| epoch 6  |   1.9802   |   1.9802   |     0.0000    |  0.0000 |
| epoch 7  |   1.8757   |   1.8757   |     0.0000    |  0.0000 |
| epoch 8  |   1.7697   |   1.7697   |     0.0000    |  0.0000 |
| epoch 9  |   1.6687   |   1.6687   |     0.0000    |  0.0000 |
| epoch 10 |   2.9961   |   1.5893   |     1.0000    |  1.4068 |
| epoch 11 |   2.9097   |   1.5117   |     1.0000    |  1.3981 |
| epoch 12 |   2.8273   |   1.4337   |     1.0000    |  1.3936 |
| epoch 13 |   2.7519   |   1.3624   |     1.0000    |  1.3895 |
| epoch 14 |   2.6898   |   1.3019   |     1.0000    |  1.3879 |
| epoch 15 |   2.6212   |   1.2340   |     1.0000    |  1.3873 |
| epoch 16 |   2.5647   |   1.1798   |     1.0000    |  1.3849 |
| epoch 17 |   2.5019   |   1.1171   |     1.0000    |  1.3848 |
| epoch 18 |   2.4452   |   1.0605   |     1.0000    |  1.3847 |
| epoch 19 |   2.4060   |   1.0214   |     1.0000    |  1.3846 |
| epoch 20 |   2.3530   |   0.9713   |     1.0000    |  1.3817 |
| epoch 21 |   2.2963   |   0.9176   |     1.0000    |  1.3786 |
| epoch 22 |   2.2568   |   0.8806   |     1.0000    |  1.3763 |
| epoch 23 |   2.2180   |   0.8388   |     1.0000    |  1.3792 |
| epoch 24 |   2.1908   |   0.8119   |     1.0000    |  1.3789 |
| epoch 25 |   2.1596   |   0.7823   |     1.0000    |  1.3773 |
| epoch 26 |   2.1242   |   0.7401   |     1.0000    |  1.3841 |
| epoch 27 |   2.0876   |   0.7088   |     1.0000    |  1.3788 |
| epoch 28 |   2.0709   |   0.6914   |     1.0000    |  1.3796 |
| epoch 29 |   2.0267   |   0.6517   |     1.0000    |  1.3749 |
| epoch 30 |   2.0053   |   0.6253   |     1.0000    |  1.3800 |
+----------+------------+------------+---------------+---------+
