+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.6278   |   3.6278   |     0.0000    |  0.0000 |
| epoch 2  |   3.0487   |   3.0487   |     0.0000    |  0.0000 |
| epoch 3  |   2.6847   |   2.6847   |     0.0000    |  0.0000 |
| epoch 4  |   2.4396   |   2.4396   |     0.0000    |  0.0000 |
| epoch 5  |   2.2345   |   2.2345   |     0.0000    |  0.0000 |
| epoch 6  |   2.0583   |   2.0583   |     0.0000    |  0.0000 |
| epoch 7  |   1.9002   |   1.9002   |     0.0000    |  0.0000 |
| epoch 8  |   1.7576   |   1.7576   |     0.0000    |  0.0000 |
| epoch 9  |   1.6271   |   1.6271   |     0.0000    |  0.0000 |
| epoch 10 |   2.9178   |   1.5319   |     1.0000    |  1.3859 |
| epoch 11 |   2.8062   |   1.4231   |     1.0000    |  1.3830 |
| epoch 12 |   2.7118   |   1.3356   |     1.0000    |  1.3762 |
| epoch 13 |   2.6214   |   1.2452   |     1.0000    |  1.3762 |
| epoch 14 |   2.5378   |   1.1652   |     1.0000    |  1.3726 |
| epoch 15 |   2.4571   |   1.0866   |     1.0000    |  1.3705 |
| epoch 16 |   2.3841   |   1.0149   |     1.0000    |  1.3692 |
| epoch 17 |   2.3249   |   0.9609   |     1.0000    |  1.3640 |
| epoch 18 |   2.2552   |   0.8971   |     1.0000    |  1.3581 |
| epoch 19 |   2.1926   |   0.8338   |     1.0000    |  1.3588 |
| epoch 20 |   2.1464   |   0.7949   |     1.0000    |  1.3514 |
| epoch 21 |   2.0881   |   0.7421   |     1.0000    |  1.3460 |
| epoch 22 |   2.0413   |   0.6993   |     1.0000    |  1.3420 |
| epoch 23 |   1.9948   |   0.6611   |     1.0000    |  1.3337 |
| epoch 24 |   1.9537   |   0.6216   |     1.0000    |  1.3322 |
| epoch 25 |   1.9171   |   0.5876   |     1.0000    |  1.3294 |
| epoch 26 |   1.8769   |   0.5583   |     1.0000    |  1.3186 |
| epoch 27 |   1.8364   |   0.5199   |     1.0000    |  1.3164 |
| epoch 28 |   1.8256   |   0.5021   |     1.0000    |  1.3234 |
| epoch 29 |   1.7916   |   0.4687   |     1.0000    |  1.3229 |
| epoch 30 |   1.7609   |   0.4480   |     1.0000    |  1.3129 |
| epoch 31 |   1.7461   |   0.4417   |     1.0000    |  1.3044 |
| epoch 32 |   1.7098   |   0.4179   |     1.0000    |  1.2919 |
| epoch 33 |   1.6836   |   0.3895   |     1.0000    |  1.2941 |
| epoch 34 |   1.6510   |   0.3708   |     1.0000    |  1.2802 |
| epoch 35 |   1.6393   |   0.3669   |     1.0000    |  1.2724 |
| epoch 36 |   1.6135   |   0.3508   |     1.0000    |  1.2628 |
| epoch 37 |   1.6219   |   0.3477   |     1.0000    |  1.2741 |
| epoch 38 |   1.6035   |   0.3412   |     1.0000    |  1.2623 |
| epoch 39 |   1.6097   |   0.3311   |     1.0000    |  1.2785 |
| epoch 40 |   1.5512   |   0.3280   |     1.0000    |  1.2232 |
| epoch 41 |   1.5537   |   0.3267   |     1.0000    |  1.2270 |
| epoch 42 |   1.5630   |   0.3240   |     1.0000    |  1.2390 |
| epoch 43 |   1.5353   |   0.3134   |     1.0000    |  1.2219 |
| epoch 44 |   1.5163   |   0.3175   |     1.0000    |  1.1987 |
| epoch 45 |   1.5061   |   0.3076   |     1.0000    |  1.1985 |
| epoch 46 |   1.5216   |   0.3150   |     1.0000    |  1.2066 |
| epoch 47 |   1.4994   |   0.3091   |     1.0000    |  1.1902 |
| epoch 48 |   1.4981   |   0.3144   |     1.0000    |  1.1837 |
| epoch 49 |   1.5180   |   0.3234   |     1.0000    |  1.1946 |
| epoch 50 |   1.4890   |   0.3161   |     1.0000    |  1.1729 |
+----------+------------+------------+---------------+---------+
