+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.1077   |   3.1077   |     0.0000    |  0.0000 |
| epoch 2  |   3.0690   |   3.0690   |     0.0000    |  0.0000 |
| epoch 3  |   3.0366   |   3.0366   |     0.0000    |  0.0000 |
| epoch 4  |   3.0074   |   3.0074   |     0.0000    |  0.0000 |
| epoch 5  |   2.9771   |   2.9771   |     0.0000    |  0.0000 |
| epoch 6  |   2.9477   |   2.9477   |     0.0000    |  0.0000 |
| epoch 7  |   2.9090   |   2.9090   |     0.0000    |  0.0000 |
| epoch 8  |   2.8712   |   2.8712   |     0.0000    |  0.0000 |
| epoch 9  |   2.8361   |   2.8361   |     0.0000    |  0.0000 |
| epoch 10 |   4.2093   |   2.8084   |     1.0000    |  1.4009 |
| epoch 11 |   4.1647   |   2.7776   |     1.0000    |  1.3871 |
| epoch 12 |   4.1218   |   2.7367   |     1.0000    |  1.3851 |
| epoch 13 |   4.0839   |   2.7002   |     1.0000    |  1.3837 |
| epoch 14 |   4.0453   |   2.6632   |     1.0000    |  1.3821 |
| epoch 15 |   4.0124   |   2.6290   |     1.0000    |  1.3834 |
| epoch 16 |   3.9697   |   2.5878   |     1.0000    |  1.3819 |
| epoch 17 |   3.9253   |   2.5467   |     1.0000    |  1.3786 |
| epoch 18 |   3.8883   |   2.5111   |     1.0000    |  1.3773 |
| epoch 19 |   3.8685   |   2.4892   |     1.0000    |  1.3794 |
| epoch 20 |   3.8309   |   2.4531   |     1.0000    |  1.3778 |
| epoch 21 |   3.8088   |   2.4337   |     1.0000    |  1.3751 |
| epoch 22 |   3.7813   |   2.4074   |     1.0000    |  1.3739 |
| epoch 23 |   3.7476   |   2.3751   |     1.0000    |  1.3726 |
| epoch 24 |   3.7268   |   2.3553   |     1.0000    |  1.3715 |
| epoch 25 |   3.7149   |   2.3435   |     1.0000    |  1.3714 |
| epoch 26 |   3.6857   |   2.3141   |     1.0000    |  1.3716 |
| epoch 27 |   3.6609   |   2.2917   |     1.0000    |  1.3692 |
| epoch 28 |   3.6427   |   2.2772   |     1.0000    |  1.3655 |
| epoch 29 |   3.6265   |   2.2608   |     1.0000    |  1.3657 |
| epoch 30 |   3.6048   |   2.2395   |     1.0000    |  1.3653 |
| epoch 31 |   3.5900   |   2.2271   |     1.0000    |  1.3628 |
| epoch 32 |   3.5670   |   2.2054   |     1.0000    |  1.3616 |
| epoch 33 |   3.5426   |   2.1840   |     1.0000    |  1.3586 |
| epoch 34 |   3.5304   |   2.1729   |     1.0000    |  1.3575 |
| epoch 35 |   3.5133   |   2.1557   |     1.0000    |  1.3576 |
| epoch 36 |   3.5041   |   2.1471   |     1.0000    |  1.3570 |
| epoch 37 |   3.4926   |   2.1355   |     1.0000    |  1.3571 |
| epoch 38 |   3.4673   |   2.1123   |     1.0000    |  1.3550 |
| epoch 39 |   3.4660   |   2.1130   |     1.0000    |  1.3530 |
| epoch 40 |   3.4346   |   2.0824   |     1.0000    |  1.3521 |
| epoch 41 |   3.4229   |   2.0694   |     1.0000    |  1.3534 |
| epoch 42 |   3.4144   |   2.0601   |     1.0000    |  1.3543 |
| epoch 43 |   3.4036   |   2.0477   |     1.0000    |  1.3558 |
| epoch 44 |   3.3893   |   2.0356   |     1.0000    |  1.3536 |
| epoch 45 |   3.3738   |   2.0203   |     1.0000    |  1.3535 |
| epoch 46 |   3.3653   |   2.0124   |     1.0000    |  1.3529 |
| epoch 47 |   3.3616   |   2.0076   |     1.0000    |  1.3540 |
| epoch 48 |   3.3439   |   1.9889   |     1.0000    |  1.3550 |
| epoch 49 |   3.3333   |   1.9758   |     1.0000    |  1.3575 |
| epoch 50 |   3.3297   |   1.9723   |     1.0000    |  1.3574 |
+----------+------------+------------+---------------+---------+
