+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   1.5885   |   1.5885   |     0.0000    |  0.0000 |
| epoch 2  |   1.4423   |   1.4423   |     0.0000    |  0.0000 |
| epoch 3  |   1.3860   |   1.3860   |     0.0000    |  0.0000 |
| epoch 4  |   1.3104   |   1.3104   |     0.0000    |  0.0000 |
| epoch 5  |   1.3035   |   1.3035   |     0.0000    |  0.0000 |
| epoch 6  |   1.2604   |   1.2604   |     0.0000    |  0.0000 |
| epoch 7  |   1.2225   |   1.2225   |     0.0000    |  0.0000 |
| epoch 8  |   1.2005   |   1.2005   |     0.0000    |  0.0000 |
| epoch 9  |   1.1803   |   1.1803   |     0.0000    |  0.0000 |
| epoch 10 |   2.5738   |   1.1693   |     1.0000    |  1.4045 |
| epoch 11 |   2.5258   |   1.1472   |     1.0000    |  1.3786 |
| epoch 12 |   2.4926   |   1.1204   |     1.0000    |  1.3723 |
| epoch 13 |   2.4590   |   1.0956   |     1.0000    |  1.3634 |
| epoch 14 |   2.4527   |   1.0954   |     1.0000    |  1.3573 |
| epoch 15 |   2.4420   |   1.0805   |     1.0000    |  1.3615 |
| epoch 16 |   2.4373   |   1.0789   |     1.0000    |  1.3584 |
| epoch 17 |   2.4317   |   1.0748   |     1.0000    |  1.3569 |
| epoch 18 |   2.3870   |   1.0343   |     1.0000    |  1.3527 |
| epoch 19 |   2.3915   |   1.0370   |     1.0000    |  1.3545 |
| epoch 20 |   2.3926   |   1.0352   |     1.0000    |  1.3574 |
| epoch 21 |   2.3783   |   1.0177   |     1.0000    |  1.3607 |
| epoch 22 |   2.3600   |   1.0065   |     1.0000    |  1.3535 |
| epoch 23 |   2.3599   |   1.0024   |     1.0000    |  1.3575 |
| epoch 24 |   2.3659   |   1.0061   |     1.0000    |  1.3599 |
| epoch 25 |   2.3289   |   0.9717   |     1.0000    |  1.3573 |
| epoch 26 |   2.3469   |   0.9876   |     1.0000    |  1.3593 |
| epoch 27 |   2.3310   |   0.9722   |     1.0000    |  1.3587 |
| epoch 28 |   2.3138   |   0.9580   |     1.0000    |  1.3558 |
| epoch 29 |   2.3247   |   0.9608   |     1.0000    |  1.3639 |
| epoch 30 |   2.3406   |   0.9809   |     1.0000    |  1.3598 |
| epoch 31 |   2.3211   |   0.9554   |     1.0000    |  1.3657 |
| epoch 32 |   2.3137   |   0.9435   |     1.0000    |  1.3703 |
| epoch 33 |   2.3126   |   0.9394   |     1.0000    |  1.3732 |
| epoch 34 |   2.3120   |   0.9476   |     1.0000    |  1.3643 |
| epoch 35 |   2.2740   |   0.9116   |     1.0000    |  1.3624 |
| epoch 36 |   2.2818   |   0.9176   |     1.0000    |  1.3641 |
| epoch 37 |   2.2598   |   0.8996   |     1.0000    |  1.3602 |
| epoch 38 |   2.2658   |   0.9049   |     1.0000    |  1.3609 |
| epoch 39 |   2.2671   |   0.9025   |     1.0000    |  1.3646 |
| epoch 40 |   2.2545   |   0.8870   |     1.0000    |  1.3675 |
| epoch 41 |   2.2510   |   0.8827   |     1.0000    |  1.3683 |
| epoch 42 |   2.2550   |   0.8940   |     1.0000    |  1.3610 |
| epoch 43 |   2.2809   |   0.9186   |     1.0000    |  1.3622 |
| epoch 44 |   2.2381   |   0.8755   |     1.0000    |  1.3625 |
| epoch 45 |   2.2378   |   0.8796   |     1.0000    |  1.3581 |
| epoch 46 |   2.2367   |   0.8776   |     1.0000    |  1.3591 |
| epoch 47 |   2.2155   |   0.8494   |     1.0000    |  1.3661 |
| epoch 48 |   2.2226   |   0.8542   |     1.0000    |  1.3685 |
| epoch 49 |   2.2077   |   0.8472   |     1.0000    |  1.3606 |
| epoch 50 |   2.2184   |   0.8576   |     1.0000    |  1.3608 |
+----------+------------+------------+---------------+---------+
