+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   2.7833   |   2.7833   |     0.0000    |  0.0000 |
| epoch 2  |   2.5093   |   2.5093   |     0.0000    |  0.0000 |
| epoch 3  |   2.3282   |   2.3282   |     0.0000    |  0.0000 |
| epoch 4  |   2.1700   |   2.1700   |     0.0000    |  0.0000 |
| epoch 5  |   2.0427   |   2.0427   |     0.0000    |  0.0000 |
| epoch 6  |   1.9423   |   1.9423   |     0.0000    |  0.0000 |
| epoch 7  |   1.8621   |   1.8621   |     0.0000    |  0.0000 |
| epoch 8  |   1.7930   |   1.7930   |     0.0000    |  0.0000 |
| epoch 9  |   1.7289   |   1.7289   |     0.0000    |  0.0000 |
| epoch 10 |   3.0511   |   1.6846   |     1.0000    |  1.3665 |
| epoch 11 |   3.0075   |   1.6346   |     1.0000    |  1.3730 |
| epoch 12 |   2.9611   |   1.5865   |     1.0000    |  1.3745 |
| epoch 13 |   2.9164   |   1.5411   |     1.0000    |  1.3753 |
| epoch 14 |   2.8720   |   1.4970   |     1.0000    |  1.3751 |
| epoch 15 |   2.8337   |   1.4586   |     1.0000    |  1.3751 |
| epoch 16 |   2.7959   |   1.4191   |     1.0000    |  1.3768 |
| epoch 17 |   2.7603   |   1.3845   |     1.0000    |  1.3759 |
| epoch 18 |   2.7271   |   1.3496   |     1.0000    |  1.3776 |
| epoch 19 |   2.6934   |   1.3165   |     1.0000    |  1.3768 |
| epoch 20 |   2.6599   |   1.2865   |     1.0000    |  1.3735 |
| epoch 21 |   2.6318   |   1.2589   |     1.0000    |  1.3730 |
| epoch 22 |   2.6031   |   1.2310   |     1.0000    |  1.3721 |
| epoch 23 |   2.5738   |   1.2022   |     1.0000    |  1.3716 |
| epoch 24 |   2.5483   |   1.1779   |     1.0000    |  1.3704 |
| epoch 25 |   2.5212   |   1.1513   |     1.0000    |  1.3698 |
| epoch 26 |   2.4943   |   1.1305   |     1.0000    |  1.3639 |
| epoch 27 |   2.4714   |   1.1097   |     1.0000    |  1.3617 |
| epoch 28 |   2.4498   |   1.0880   |     1.0000    |  1.3618 |
| epoch 29 |   2.4270   |   1.0664   |     1.0000    |  1.3606 |
| epoch 30 |   2.3991   |   1.0495   |     1.0000    |  1.3496 |
| epoch 31 |   2.3793   |   1.0320   |     1.0000    |  1.3474 |
| epoch 32 |   2.3636   |   1.0150   |     1.0000    |  1.3486 |
| epoch 33 |   2.3511   |   0.9973   |     1.0000    |  1.3538 |
| epoch 34 |   2.3255   |   0.9798   |     1.0000    |  1.3457 |
| epoch 35 |   2.2967   |   0.9679   |     1.0000    |  1.3288 |
| epoch 36 |   2.2870   |   0.9577   |     1.0000    |  1.3293 |
| epoch 37 |   2.2739   |   0.9453   |     1.0000    |  1.3286 |
| epoch 38 |   2.2695   |   0.9345   |     1.0000    |  1.3350 |
| epoch 39 |   2.2644   |   0.9251   |     1.0000    |  1.3393 |
| epoch 40 |   2.2492   |   0.9116   |     1.0000    |  1.3376 |
| epoch 41 |   2.2330   |   0.9057   |     1.0000    |  1.3273 |
| epoch 42 |   2.2142   |   0.8945   |     1.0000    |  1.3197 |
| epoch 43 |   2.1966   |   0.8867   |     1.0000    |  1.3099 |
| epoch 44 |   2.1845   |   0.8736   |     1.0000    |  1.3109 |
| epoch 45 |   2.1760   |   0.8665   |     1.0000    |  1.3095 |
| epoch 46 |   2.1543   |   0.8557   |     1.0000    |  1.2986 |
| epoch 47 |   2.1501   |   0.8479   |     1.0000    |  1.3022 |
| epoch 48 |   2.1408   |   0.8392   |     1.0000    |  1.3015 |
| epoch 49 |   2.1249   |   0.8305   |     1.0000    |  1.2944 |
| epoch 50 |   2.1150   |   0.8245   |     1.0000    |  1.2905 |
+----------+------------+------------+---------------+---------+
