+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   3.4628   |   3.4628   |     0.0000    |  0.0000 |
| epoch 2  |   3.4254   |   3.4254   |     0.0000    |  0.0000 |
| epoch 3  |   3.4114   |   3.4114   |     0.0000    |  0.0000 |
| epoch 4  |   3.3921   |   3.3921   |     0.0000    |  0.0000 |
| epoch 5  |   3.3810   |   3.3810   |     0.0000    |  0.0000 |
| epoch 6  |   3.3609   |   3.3609   |     0.0000    |  0.0000 |
| epoch 7  |   3.3494   |   3.3494   |     0.0000    |  0.0000 |
| epoch 8  |   3.3310   |   3.3310   |     0.0000    |  0.0000 |
| epoch 9  |   3.3227   |   3.3227   |     0.0000    |  0.0000 |
| epoch 10 |   4.6887   |   3.3021   |     1.0000    |  1.3866 |
| epoch 11 |   4.6471   |   3.2953   |     1.0000    |  1.3518 |
| epoch 12 |   4.6329   |   3.2894   |     1.0000    |  1.3435 |
| epoch 13 |   4.6403   |   3.2792   |     1.0000    |  1.3611 |
| epoch 14 |   4.6259   |   3.2654   |     1.0000    |  1.3604 |
| epoch 15 |   4.6022   |   3.2524   |     1.0000    |  1.3499 |
| epoch 16 |   4.5696   |   3.2265   |     1.0000    |  1.3431 |
| epoch 17 |   4.5758   |   3.2241   |     1.0000    |  1.3517 |
| epoch 18 |   4.5558   |   3.2039   |     1.0000    |  1.3519 |
| epoch 19 |   4.5373   |   3.2006   |     1.0000    |  1.3367 |
| epoch 20 |   4.5197   |   3.1823   |     1.0000    |  1.3375 |
| epoch 21 |   4.5036   |   3.1671   |     1.0000    |  1.3366 |
| epoch 22 |   4.5010   |   3.1658   |     1.0000    |  1.3353 |
| epoch 23 |   4.4758   |   3.1365   |     1.0000    |  1.3392 |
| epoch 24 |   4.4761   |   3.1365   |     1.0000    |  1.3396 |
| epoch 25 |   4.4561   |   3.1202   |     1.0000    |  1.3359 |
| epoch 26 |   4.4443   |   3.1007   |     1.0000    |  1.3437 |
| epoch 27 |   4.4313   |   3.0929   |     1.0000    |  1.3384 |
| epoch 28 |   4.4334   |   3.0821   |     1.0000    |  1.3513 |
| epoch 29 |   4.4191   |   3.0721   |     1.0000    |  1.3470 |
| epoch 30 |   4.4226   |   3.0718   |     1.0000    |  1.3508 |
| epoch 31 |   4.4013   |   3.0524   |     1.0000    |  1.3489 |
| epoch 32 |   4.3804   |   3.0391   |     1.0000    |  1.3413 |
| epoch 33 |   4.3670   |   3.0244   |     1.0000    |  1.3426 |
| epoch 34 |   4.3647   |   3.0138   |     1.0000    |  1.3509 |
| epoch 35 |   4.3241   |   2.9829   |     1.0000    |  1.3412 |
| epoch 36 |   4.3439   |   2.9965   |     1.0000    |  1.3474 |
| epoch 37 |   4.3211   |   2.9730   |     1.0000    |  1.3481 |
| epoch 38 |   4.2996   |   2.9584   |     1.0000    |  1.3412 |
| epoch 39 |   4.2939   |   2.9543   |     1.0000    |  1.3396 |
| epoch 40 |   4.2764   |   2.9415   |     1.0000    |  1.3349 |
| epoch 41 |   4.2588   |   2.9250   |     1.0000    |  1.3339 |
| epoch 42 |   4.2469   |   2.9155   |     1.0000    |  1.3315 |
| epoch 43 |   4.2522   |   2.9225   |     1.0000    |  1.3297 |
| epoch 44 |   4.2448   |   2.9117   |     1.0000    |  1.3332 |
| epoch 45 |   4.2177   |   2.8909   |     1.0000    |  1.3268 |
| epoch 46 |   4.2267   |   2.8979   |     1.0000    |  1.3287 |
| epoch 47 |   4.2141   |   2.8785   |     1.0000    |  1.3356 |
| epoch 48 |   4.2012   |   2.8711   |     1.0000    |  1.3301 |
| epoch 49 |   4.1929   |   2.8637   |     1.0000    |  1.3293 |
| epoch 50 |   4.1747   |   2.8450   |     1.0000    |  1.3297 |
+----------+------------+------------+---------------+---------+
