+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   1.7682   |   1.7682   |     0.0000    |  0.0000 |
| epoch 2  |   1.7169   |   1.7169   |     0.0000    |  0.0000 |
| epoch 3  |   1.6839   |   1.6839   |     0.0000    |  0.0000 |
| epoch 4  |   1.7053   |   1.7053   |     0.0000    |  0.0000 |
| epoch 5  |   1.6456   |   1.6456   |     0.0000    |  0.0000 |
| epoch 6  |   1.6426   |   1.6426   |     0.0000    |  0.0000 |
| epoch 7  |   1.6640   |   1.6640   |     0.0000    |  0.0000 |
| epoch 8  |   1.6560   |   1.6560   |     0.0000    |  0.0000 |
| epoch 9  |   1.6006   |   1.6006   |     0.0000    |  0.0000 |
| epoch 10 |   3.0381   |   1.5962   |     1.0000    |  1.4419 |
| epoch 11 |   3.0366   |   1.6130   |     1.0000    |  1.4236 |
| epoch 12 |   3.0279   |   1.6204   |     1.0000    |  1.4075 |
| epoch 13 |   3.0204   |   1.6178   |     1.0000    |  1.4026 |
| epoch 14 |   3.0067   |   1.5943   |     1.0000    |  1.4124 |
| epoch 15 |   2.9929   |   1.5808   |     1.0000    |  1.4121 |
| epoch 16 |   3.0061   |   1.5944   |     1.0000    |  1.4116 |
| epoch 17 |   2.9648   |   1.5571   |     1.0000    |  1.4078 |
| epoch 18 |   2.9538   |   1.5599   |     1.0000    |  1.3939 |
| epoch 19 |   2.9465   |   1.5430   |     1.0000    |  1.4034 |
| epoch 20 |   2.9843   |   1.5780   |     1.0000    |  1.4063 |
| epoch 21 |   2.9795   |   1.5733   |     1.0000    |  1.4062 |
| epoch 22 |   2.9401   |   1.5440   |     1.0000    |  1.3961 |
| epoch 23 |   2.9647   |   1.5542   |     1.0000    |  1.4105 |
| epoch 24 |   2.9331   |   1.5334   |     1.0000    |  1.3997 |
| epoch 25 |   2.9248   |   1.5378   |     1.0000    |  1.3871 |
| epoch 26 |   2.9766   |   1.5705   |     1.0000    |  1.4062 |
| epoch 27 |   2.9370   |   1.5332   |     1.0000    |  1.4038 |
| epoch 28 |   2.8810   |   1.4804   |     1.0000    |  1.4006 |
| epoch 29 |   2.8926   |   1.4911   |     1.0000    |  1.4015 |
| epoch 30 |   2.8832   |   1.4778   |     1.0000    |  1.4053 |
| epoch 31 |   2.9132   |   1.5169   |     1.0000    |  1.3963 |
| epoch 32 |   2.8827   |   1.4826   |     1.0000    |  1.4001 |
| epoch 33 |   2.8806   |   1.4799   |     1.0000    |  1.4007 |
| epoch 34 |   2.9023   |   1.5108   |     1.0000    |  1.3915 |
| epoch 35 |   2.8606   |   1.4544   |     1.0000    |  1.4062 |
| epoch 36 |   2.8578   |   1.4700   |     1.0000    |  1.3879 |
| epoch 37 |   2.8729   |   1.4836   |     1.0000    |  1.3893 |
| epoch 38 |   2.8546   |   1.4493   |     1.0000    |  1.4052 |
| epoch 39 |   2.8576   |   1.4605   |     1.0000    |  1.3972 |
| epoch 40 |   2.8559   |   1.4536   |     1.0000    |  1.4024 |
| epoch 41 |   2.8287   |   1.4282   |     1.0000    |  1.4005 |
| epoch 42 |   2.8449   |   1.4429   |     1.0000    |  1.4020 |
| epoch 43 |   2.8120   |   1.4198   |     1.0000    |  1.3922 |
| epoch 44 |   2.7950   |   1.3913   |     1.0000    |  1.4036 |
| epoch 45 |   2.8562   |   1.4434   |     1.0000    |  1.4128 |
| epoch 46 |   2.8184   |   1.4276   |     1.0000    |  1.3909 |
| epoch 47 |   2.8085   |   1.4163   |     1.0000    |  1.3923 |
| epoch 48 |   2.7821   |   1.3914   |     1.0000    |  1.3907 |
| epoch 49 |   2.7908   |   1.3930   |     1.0000    |  1.3978 |
| epoch 50 |   2.7982   |   1.4048   |     1.0000    |  1.3933 |
+----------+------------+------------+---------------+---------+
