+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   1.5413   |   1.5413   |     0.0000    |  0.0000 |
| epoch 2  |   1.4274   |   1.4274   |     0.0000    |  0.0000 |
| epoch 3  |   1.3896   |   1.3896   |     0.0000    |  0.0000 |
| epoch 4  |   1.3126   |   1.3126   |     0.0000    |  0.0000 |
| epoch 5  |   1.3000   |   1.3000   |     0.0000    |  0.0000 |
| epoch 6  |   1.2672   |   1.2672   |     0.0000    |  0.0000 |
| epoch 7  |   1.2325   |   1.2325   |     0.0000    |  0.0000 |
| epoch 8  |   1.2079   |   1.2079   |     0.0000    |  0.0000 |
| epoch 9  |   1.1987   |   1.1987   |     0.0000    |  0.0000 |
| epoch 10 |   2.5778   |   1.1828   |     1.0000    |  1.3950 |
| epoch 11 |   2.5205   |   1.1507   |     1.0000    |  1.3698 |
| epoch 12 |   2.4990   |   1.1484   |     1.0000    |  1.3506 |
| epoch 13 |   2.4518   |   1.1086   |     1.0000    |  1.3432 |
| epoch 14 |   2.4712   |   1.1283   |     1.0000    |  1.3428 |
| epoch 15 |   2.4408   |   1.1059   |     1.0000    |  1.3350 |
| epoch 16 |   2.4211   |   1.0914   |     1.0000    |  1.3296 |
| epoch 17 |   2.4271   |   1.0831   |     1.0000    |  1.3440 |
| epoch 18 |   2.4420   |   1.0971   |     1.0000    |  1.3449 |
| epoch 19 |   2.4458   |   1.0938   |     1.0000    |  1.3521 |
| epoch 20 |   2.4144   |   1.0579   |     1.0000    |  1.3565 |
| epoch 21 |   2.4433   |   1.0878   |     1.0000    |  1.3555 |
| epoch 22 |   2.4211   |   1.0753   |     1.0000    |  1.3459 |
| epoch 23 |   2.4076   |   1.0521   |     1.0000    |  1.3555 |
| epoch 24 |   2.3763   |   1.0305   |     1.0000    |  1.3458 |
| epoch 25 |   2.3934   |   1.0359   |     1.0000    |  1.3575 |
| epoch 26 |   2.4143   |   1.0518   |     1.0000    |  1.3625 |
| epoch 27 |   2.4010   |   1.0436   |     1.0000    |  1.3574 |
| epoch 28 |   2.4125   |   1.0412   |     1.0000    |  1.3713 |
| epoch 29 |   2.3645   |   1.0060   |     1.0000    |  1.3585 |
| epoch 30 |   2.3933   |   1.0197   |     1.0000    |  1.3736 |
| epoch 31 |   2.3541   |   0.9901   |     1.0000    |  1.3640 |
| epoch 32 |   2.3759   |   1.0075   |     1.0000    |  1.3684 |
| epoch 33 |   2.3669   |   1.0012   |     1.0000    |  1.3657 |
| epoch 34 |   2.3561   |   0.9899   |     1.0000    |  1.3662 |
| epoch 35 |   2.3730   |   1.0042   |     1.0000    |  1.3688 |
| epoch 36 |   2.3363   |   0.9701   |     1.0000    |  1.3662 |
| epoch 37 |   2.3592   |   0.9843   |     1.0000    |  1.3749 |
| epoch 38 |   2.3203   |   0.9602   |     1.0000    |  1.3601 |
| epoch 39 |   2.3306   |   0.9628   |     1.0000    |  1.3679 |
| epoch 40 |   2.3320   |   0.9622   |     1.0000    |  1.3698 |
| epoch 41 |   2.3318   |   0.9637   |     1.0000    |  1.3681 |
| epoch 42 |   2.3129   |   0.9487   |     1.0000    |  1.3642 |
| epoch 43 |   2.2881   |   0.9303   |     1.0000    |  1.3578 |
| epoch 44 |   2.2797   |   0.9180   |     1.0000    |  1.3617 |
| epoch 45 |   2.2992   |   0.9232   |     1.0000    |  1.3760 |
| epoch 46 |   2.3008   |   0.9411   |     1.0000    |  1.3597 |
| epoch 47 |   2.2806   |   0.9082   |     1.0000    |  1.3724 |
| epoch 48 |   2.3020   |   0.9205   |     1.0000    |  1.3815 |
| epoch 49 |   2.2995   |   0.9280   |     1.0000    |  1.3715 |
| epoch 50 |   2.2478   |   0.8857   |     1.0000    |  1.3621 |
+----------+------------+------------+---------------+---------+
